주차장명,소재지지번주소,구분,값
성북로9길인근,대구광역시 북구 침산동 339-2,주차구획수,39
시체육회앞,대구광역시 북구 고성동3가 2,주차구획수,59
신천교,대구광역시 북구 칠성동2가 409-6,주차구획수,27
신천교고가도로밑,대구광역시 북구 칠성동1가 287,주차구획수,46
신천동로(대현동),대구광역시 북구 대현동 524,주차구획수,11
신천동로146길인근,대구광역시 북구 대현동 524,주차구획수,12
신천동로148길인근,대구광역시 북구 대현동 524,주차구획수,15
연암공원로10길인근,대구광역시 북구 산격동 1436-10,주차구획수,16
연암공원로14길인근,대구광역시 북구 산격동 1186-111,주차구획수,10
연암공원로28길인근,대구광역시 북구 산격동 1499-2,주차구획수,4
연암공원로32길인근,대구광역시 북구 산격동 1203-12,주차구획수,34
연암공원로인근,대구광역시 북구 산격동 975-2,주차구획수,15
연암로인근,대구광역시 북구 산격동 796-37,주차구획수,48
영송로인근,대구광역시 북구 태전동 950,주차구획수,8
오봉로10길인근,대구광역시 북구 노원동1가 273,주차구획수,13
오봉로1길인근,대구광역시 북구 노원동2가 1,주차구획수,12
오봉로1길인근(보성아파트),대구광역시 북구 노원동2가 1,주차구획수,11
오봉로3길인근,대구광역시 북구 노원동2가 1,주차구획수,10
오봉로6길인근,대구광역시 북구 노원동1가 273,주차구획수,18
오봉로7길인근,대구광역시 북구 노원동2가 1,주차구획수,19
오봉로인근,대구광역시 북구 노원동3가 1208,주차구획수,135
옥산로3길인근,대구광역시 북구 노원동1가 271,주차구획수,10
옥산로5길인근,대구광역시 북구 노원동1가 529,주차구획수,28
옥산로9길인근,대구광역시 북구 노원동1가 15-19,주차구획수,28
옥산로인근(북구),대구광역시 북구 고성동3가 143,주차구획수,25
원대로19길인근,대구광역시 북구 노원동1가 382,주차구획수,25
원대로21길인근,대구광역시 북구 노원동1가 529,주차구획수,12
원대로23길인근,대구광역시 북구 노원동1가 19-9,주차구획수,4
원대로25길인근,대구광역시 북구 노원동1가 19-6,주차구획수,31
유통단지로21길인근,대구광역시 북구 산격동 1580,주차구획수,42
중앙대로105길인근,대구광역시 북구 칠성동2가 351-9,주차구획수,17
중앙대로118길인근,대구광역시 북구 침산동 101-3,주차구획수,19
지하철대구역인근,대구광역시 북구 칠성동2가 302-338,주차구획수,9
청운로인근,대구광역시 북구 침산동 1693-1,주차구획수,7
칠곡중앙대로105길인근,대구광역시 북구 읍내동 1304,주차구획수,75
칠곡중앙대로75길인근,대구광역시 북구 태전동 962,주차구획수,15
칠곡중앙대로77길인근,대구광역시 북구 태전동 944,주차구획수,73
칠곡중앙대로80길인근,대구광역시 북구 태전동 1002,주차구획수,30
칠곡중앙대로86길인근,대구광역시 북구 읍내동 1378,주차구획수,39
칠곡중앙대로91길인근,대구광역시 북구 관음동 1359,주차구획수,17
칠곡중앙대로인근,대구광역시 북구 읍내동 794-1,주차구획수,56
칠성공구상가앞,대구광역시 북구 칠성동1가 279-1,주차구획수,8
칠성교북편,대구광역시 북구 대현동 389,주차구획수,10
칠성꽃시장,대구광역시 북구 칠성동2가 302-94,주차구획수,23
칠성남로16길인근,대구광역시 북구 칠성동2가 302-93,주차구획수,61
칠성남로2길인근,대구광역시 북구 고성동1가 95-4,주차구획수,71
칠성남로31길인근,대구광역시 북구 칠성동2가 538-13,주차구획수,6
칠성남로인근(고성동),대구광역시 북구 고성동2가 110-41,주차구획수,102
칠성농협앞,대구광역시 북구 칠성동1가 171-12,주차구획수,30
칠성로17길인근,대구광역시 북구 침산동 163-8,주차구획수,32
칠성시장고가도로밑,대구광역시 북구 침산동 78-7,주차구획수,76
칠성시장광로,대구광역시 북구 칠성동2가 407-8,주차구획수,37
칠성시장남편,대구광역시 북구 칠성동1가 279-1,주차구획수,39
칠성시장동편,대구광역시 북구 칠성동1가 279-1,주차구획수,16
칠성시장방범초소,대구광역시 북구 칠성동2가 409-24,주차구획수,24
칠성시장북편,대구광역시 북구 칠성동1가 279-1,주차구획수,9
칠성시장서편도로,대구광역시 북구 칠성동1가 236-1,주차구획수,30
칠성전자상가앞,대구광역시 북구 칠성동1가 279-1,주차구획수,7
침산남로31길인근,대구광역시 북구 침산동 286-1,주차구획수,14
침산남로39길인근,대구광역시 북구 침산동 5-1,주차구획수,18
침산남로9길인근,대구광역시 북구 침산동 1706-4,주차구획수,10
침산로40길인근,대구광역시 북구 침산동 531-3,주차구획수,4
침산로42길인근,대구광역시 북구 침산동 581,주차구획수,7
침산로46길인근,대구광역시 북구 침산동 565,주차구획수,3
침산로48길인근,대구광역시 북구 침산동 594,주차구획수,10
침산로인근,대구광역시 북구 침산동 823,주차구획수,30
태암교(동편),대구광역시 북구 구암동 714,주차구획수,39
태암교(서편),대구광역시 북구 태전동 1030,주차구획수,49
태암남로1길인근,대구광역시 북구 태전동 1041,주차구획수,25
태암로1길인근,대구광역시 북구 태전동 1004,주차구획수,8
태암로2길인근,대구광역시 북구 태전동 1039,주차구획수,31
태암로3길인근,대구광역시 북구 태전동 1019,주차구획수,41
태암로4길인근,대구광역시 북구 태전동 1043,주차구획수,25
태암로5길인근,대구광역시 북구 태전동 1026,주차구획수,33
태암로6길인근,대구광역시 북구 태전동 1045,주차구획수,42
팔거천서로35길인근,대구광역시 북구 읍내동 1351-2,주차구획수,35
팔거천서로인근,대구광역시 북구 태전동 1073-31,주차구획수,52
팔달로37길인근,대구광역시 북구 노원동2가 1,주차구획수,27
팔달로41길인근,대구광역시 북구 노원동2가 1,주차구획수,90
팔달북로2길인근,대구광역시 북구 노원동3가 252-3,주차구획수,21
팔달북로3길인근,대구광역시 북구 노원동3가 252-3,주차구획수,68
팔달북로7길인근,대구광역시 북구 노원동3가 252-3,주차구획수,41
팔달북로인근,대구광역시 북구 노원동3가 436,주차구획수,100
풍국면앞,대구광역시 북구 노원동3가 252-3,주차구획수,16
한국농촌공사,대구광역시 북구 구암동 651,주차구획수,30
힘나라2길인근,대구광역시 북구 노원동3가 252-3,주차구획수,43
1·2,대구광역시 북구 칠성동2가 310-1,주차구획수,50
EXPO,대구광역시 북구 복현동 478-5,주차구획수,18
RGB Tower,대구광역시 북구 동천동 903-4,주차구획수,52
강북,대구광역시 북구 구암동 653-1,주차구획수,16
경명여고앞,대구광역시 북구 칠성동2가 385-2,주차구획수,40
공단,대구광역시 북구 노원동3가 183-19,주차구획수,34
관음(공영),대구광역시 북구 관음동 448-1,주차구획수,169
관음동 1255-14공영,대구광역시 북구 관음동 1255-14,주차구획수,6
관음동1275-27공영,대구광역시 북구 관음동 1275-27,주차구획수,6
관음동1284-5공영,대구광역시 북구 관음동 1284-5,주차구획수,12
구수산(공영),대구광역시 북구 읍내동 1077-1,주차구획수,48
구암동주민센터(공영),대구광역시 북구 구암동 788-3,주차구획수,46
노곡교남단1(공영),대구광역시 북구 노곡동 990,주차구획수,200
노곡교남단2(공영),대구광역시 북구 노곡동 876,주차구획수,200
노원(공영),대구광역시 북구 노원동1가 16-1,주차구획수,82
동변(공영),대구광역시 북구 동변동 670,주차구획수,53
동천동복합청사공영,대구광역시 북구 동천동 930-1,주차구획수,25
동편업무지구(공영),대구광역시 북구 산격동 1687,주차구획수,123
동호동(공영),대구광역시 북구 동호동 262-2,주차구획수,10
복현동임시공영주차장,대구광역시 북구 복현동 127,주차구획수,8
북구문화회관앞(공영),대구광역시 북구 산격동 120,주차구획수,110
산격(공영),대구광역시 북구 산격동 1264-1,주차구획수,43
산격3동공영,대구광역시 북구 산격동 1410-4,주차구획수,51
산업용재관남편(공영),대구광역시 북구 산격동 1631,주차구획수,112
서변1(공영),대구광역시 북구 서변동 1777,주차구획수,91
서변2(공영),대구광역시 북구 서변동 1791,주차구획수,95
서편업무지구(공영),대구광역시 북구 산격동 1639,주차구획수,105
신기공원북편(공영),대구광역시 북구 산격동 1617,주차구획수,58
신천둔치(공영),대구광역시 북구 칠성동1가 276-165,주차구획수,437
우편집중국서편(공영),대구광역시 북구 산격동 1567,주차구획수,29
읍내동임시공영,대구광역시 북구 읍내동 412-5,주차구획수,10
임시공영(공영청사부지),대구광역시 북구 구암동 771-3,주차구획수,338
임시공영(관음동),대구광역시 북구 관음동 1230-2,주차구획수,120
임시공영(복현1동)1,대구광역시 북구 복현동 404-3,주차구획수,23
임시공영(복현1동)2,대구광역시 북구 복현동 615-31,주차구획수,23
임시공영(침산1동),대구광역시 북구 침산동 1310-2,주차구획수,17
임시공영(팔달동),대구광역시 북구 팔달동 151-36,주차구획수,17
전자관북편1(공영),대구광역시 북구 산격동 338-2,주차구획수,107
전자관북편2(공영),대구광역시 북구 산격동 603-9,주차구획수,104
조야교남편(공영),대구광역시 북구 조야동 436-2,주차구획수,74
칠성(공영),대구광역시 북구 칠성동1가 184-10,주차구획수,165
칠성동2가(공영),대구광역시 북구 칠성동2가 409-613,주차구획수,19
태전1동임시공영,대구광역시 북구 태전동 302-8,주차구획수,11
팔달신시장(공영),대구광역시 북구 노원동3가 883-3,주차구획수,164
패션센터남편(공영),대구광역시 북구 산격동 1670,주차구획수,66
관음제2공영,대구광역시 북구 관음동 185,주차구획수,44
무지개공영주차장,대구광역시 북구 산격동 1393,주차구획수,51
복현장미공원 공영주차장,대구광역시 북구 복현동 439-1,주차구획수,96
산격4동공영주차장,대구광역시 북구 산격동 1216-24,주차구획수,63
운암지 공영주차장(노상),대구광역시 북구 구암동 615-13,주차구획수,40
운암지 공영주차장(노외),대구광역시 북구 구암동 615-13,주차구획수,140
