species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,sex,body_mass_g
Gentoo,Biscoe,47.5,17.1,211,Male,8202
Adelie,Biscoe,37.9,18.8,185,Female,5748
Gentoo,Torgersen,43.0,16.9,218,Male,8199
Chinstrap,Dream,49.0,17.2,202,Female,5868
Gentoo,Biscoe,45.8,15.1,223,Female,7574
Gentoo,Biscoe,43.7,13.7,232,Female,7274
Adelie,Biscoe,41.6,16.7,196,Male,6134
Adelie,Dream,39.4,18.1,191,Male,5654
Adelie,Dream,38.1,17.3,197,Female,5901
Chinstrap,Biscoe,49.1,18.6,188,,5966
Gentoo,Dream,48.5,16.1,205,Male,7663
Gentoo,Dream,48.4,15.6,212,Male,7795
Adelie,Biscoe,40.8,18.2,189,Male,6045
Chinstrap,Biscoe,51.8,18.9,181,Female,5671
Chinstrap,Dream,41.0,17.4,196,Male,6519
Adelie,Torgersen,38.6,15.6,183,Male,5777
Adelie,Dream,39.0,17.6,194,Female,5715
Adelie,Dream,33.4,18.6,186,Male,6073
Gentoo,Biscoe,42.7,15.3,212,Male,7836
Adelie,Dream,39.7,17.7,190,Male,6295
Chinstrap,Dream,48.2,17.6,194,Female,5678
Gentoo,Biscoe,44.7,14.3,220,Female,7285
Adelie,Biscoe,44.4,17.5,199,Female,5667
Gentoo,Biscoe,51.0,15.0,218,Female,7504
Gentoo,Biscoe,43.8,15.8,220,Female,7378
Adelie,Biscoe,36.0,18.1,192,Female,5639
Chinstrap,Biscoe,49.2,17.0,194,Female,5457
Adelie,Biscoe,36.0,15.7,199,Male,6192
Adelie,Biscoe,37.1,19.4,189,Male,6352
Adelie,Torgersen,44.0,19.8,192,Female,5642
Chinstrap,Dream,47.8,17.1,196,Male,6465
Chinstrap,Dream,43.6,18.1,182,Male,6518
Adelie,Dream,41.1,18.1,200,Female,5914
Adelie,Dream,40.1,18.3,180,Male,6119
Gentoo,Biscoe,49.8,15.7,216,Male,7788
Adelie,Dream,39.8,19.1,188,Male,5663
Adelie,Dream,45.3,17.4,188,,6176
Chinstrap,Dream,46.3,17.6,176,Male,6054
Gentoo,Dream,39.6,16.2,207,Female,7222
Adelie,Biscoe,41.6,20.0,183,,5509
Chinstrap,Biscoe,49.2,17.9,193,Female,5639
Gentoo,Biscoe,49.9,15.4,214,,7515
Adelie,Dream,40.5,18.4,196,Female,5476
Gentoo,Dream,46.7,15.0,217,Male,7974
Adelie,Biscoe,43.2,18.8,192,Male,6579
Chinstrap,Torgersen,52.4,19.2,205,Male,6421
Chinstrap,Dream,47.3,16.3,191,Male,6344
Chinstrap,Biscoe,53.0,19.9,191,Female,5893
Adelie,Biscoe,38.6,17.8,185,Female,5383
Gentoo,Biscoe,49.7,14.4,218,Male,7978
Adelie,Biscoe,39.7,18.7,188,,5434
Adelie,Biscoe,39.9,18.9,190,Male,6372
Adelie,Biscoe,43.2,18.5,197,Female,5715
Chinstrap,Biscoe,52.2,20.0,202,Female,5870
Chinstrap,Biscoe,47.7,18.4,191,Male,6123
Adelie,Torgersen,41.4,19.6,187,Female,5723
Chinstrap,Biscoe,45.6,19.4,200,Male,6772
Adelie,Dream,35.5,19.4,192,Female,5397
Chinstrap,Dream,55.6,18.9,182,Male,6156
Adelie,Torgersen,40.7,18.8,190,Male,6250
Chinstrap,Biscoe,48.9,19.3,202,Female,5949
Adelie,Biscoe,42.5,18.0,201,Female,5607
Gentoo,Torgersen,48.0,14.0,224,Male,7390
Adelie,Torgersen,39.1,17.5,192,Female,5887
Adelie,Torgersen,38.3,17.0,180,Female,5645
Adelie,Biscoe,38.8,17.4,173,Male,5674
Gentoo,Biscoe,42.5,15.3,216,Male,7733
Gentoo,Dream,44.9,15.2,216,Female,7574
Adelie,Torgersen,43.1,18.3,187,Male,6471
Chinstrap,Dream,57.3,17.4,194,Male,6548
Gentoo,Dream,47.0,15.4,232,Male,7997
Chinstrap,Biscoe,49.9,18.0,200,Female,5800
Chinstrap,Dream,49.4,15.2,196,Female,5714
Adelie,Biscoe,35.2,19.5,185,Male,6353
Adelie,Biscoe,43.2,17.5,196,Female,5505
Gentoo,Dream,45.6,15.4,217,Male,7716
Gentoo,Dream,46.3,15.0,218,Female,7492
Chinstrap,Biscoe,53.1,18.5,189,Male,6280
Adelie,Biscoe,41.5,18.5,186,Male,6440
Adelie,Dream,37.9,19.0,191,Female,5460
Gentoo,Biscoe,44.1,14.6,219,Male,7877
Gentoo,Dream,48.3,14.3,204,Female,6971
Gentoo,Biscoe,49.0,15.4,216,,7290
Gentoo,Dream,51.0,15.3,217,Male,7610
Chinstrap,Dream,53.1,17.1,201,Male,6308
Adelie,Biscoe,45.4,16.7,195,Female,5391
Adelie,Biscoe,42.5,19.3,188,Male,6332
Gentoo,Biscoe,43.6,15.6,216,Male,8001
Chinstrap,Biscoe,51.6,18.3,190,Male,5941
Adelie,Torgersen,41.1,19.1,185,Male,6426
Adelie,Biscoe,40.8,17.5,180,Male,6603
Chinstrap,Torgersen,47.6,19.1,184,Female,5621
Adelie,Biscoe,39.1,18.6,187,Female,5435
Adelie,Dream,38.6,17.7,184,Male,6695
Chinstrap,Dream,54.1,17.3,202,Male,6155
Chinstrap,Dream,47.7,17.6,189,Male,6264
Chinstrap,Dream,52.8,16.8,201,Female,5839
Adelie,Dream,38.5,16.4,192,Male,6481
Gentoo,Biscoe,53.8,16.2,216,Female,7382
Adelie,Torgersen,35.8,18.0,188,Female,5457
Adelie,Torgersen,39.3,19.1,192,Female,5424
Gentoo,Torgersen,46.4,14.6,214,Male,7784
Chinstrap,Biscoe,45.8,17.2,206,Female,5622
Gentoo,Dream,51.8,16.2,219,Male,7942
Chinstrap,Torgersen,44.9,17.5,189,Female,5528
Chinstrap,Biscoe,52.7,19.9,201,Male,6102
Adelie,Biscoe,36.1,18.9,205,Female,5984
Adelie,Dream,38.2,16.5,185,Male,6044
Adelie,Dream,40.3,19.2,187,Female,5320
Adelie,Torgersen,36.2,19.0,190,Male,6143
Gentoo,Biscoe,42.5,15.5,213,Male,7835
Adelie,Dream,35.2,18.0,192,Male,5843
Gentoo,Biscoe,53.8,16.2,221,Male,8021
Chinstrap,Biscoe,44.4,17.7,200,Female,5539
Gentoo,Biscoe,48.1,15.9,205,Female,7512
Chinstrap,Torgersen,55.2,16.3,195,Male,6456
Chinstrap,Dream,45.5,19.2,200,Female,5673
Chinstrap,Dream,46.6,16.3,205,Male,6264
Adelie,Biscoe,39.4,19.0,170,Male,5980
Gentoo,Torgersen,49.0,14.8,223,Female,7477
Adelie,Biscoe,39.1,18.8,192,Male,6206
Adelie,Torgersen,37.6,19.6,183,Male,6073
Chinstrap,Dream,50.9,18.6,201,Female,5803
Adelie,Biscoe,40.3,19.5,184,Male,6017
Gentoo,Dream,44.5,14.9,232,Male,7958
Gentoo,Biscoe,49.0,15.3,222,Male,7531
Gentoo,Dream,52.1,14.5,225,Male,8180
Adelie,Dream,37.0,18.3,171,Female,5459
Adelie,Biscoe,35.0,17.9,184,Female,5364
Gentoo,Torgersen,47.5,15.0,217,Female,7671
Chinstrap,Biscoe,52.5,19.7,192,Male,6326
Gentoo,Dream,49.4,13.7,210,Male,7619
Gentoo,Torgersen,50.2,15.3,216,Female,7461
Gentoo,Dream,46.1,12.9,220,Male,7986
Adelie,Biscoe,38.0,18.7,190,Male,6271
Adelie,Torgersen,42.2,15.8,194,Male,6161
Gentoo,Dream,46.1,18.2,219,Male,7989
Adelie,Biscoe,39.6,19.4,187,Female,5514
Adelie,Biscoe,36.5,17.6,192,Female,5715
Chinstrap,Dream,47.4,19.2,197,Female,5353
Gentoo,Dream,46.4,16.0,229,Male,7911
Chinstrap,Dream,47.9,19.2,200,Female,6110
Chinstrap,Torgersen,51.2,19.9,196,Female,5594
Adelie,Dream,39.9,20.1,198,Male,6155
Chinstrap,Biscoe,45.7,18.7,195,Male,6223
Gentoo,Biscoe,51.6,15.6,210,Female,6995
Adelie,Biscoe,38.9,19.5,202,Female,5274
Chinstrap,Dream,51.5,19.8,193,Female,5666
Gentoo,Biscoe,41.7,13.8,221,Female,7324
Gentoo,Dream,50.6,12.7,223,Male,7954
Chinstrap,Dream,48.1,17.9,188,Female,5616
Gentoo,Torgersen,50.0,14.2,220,Female,7341
Adelie,Biscoe,38.6,19.0,186,Male,6357
Adelie,Torgersen,45.8,17.2,193,Female,5623
Gentoo,Biscoe,43.7,15.8,219,Male,7773
Gentoo,Torgersen,49.8,14.9,230,Male,7977
Gentoo,Biscoe,47.5,14.5,208,Male,7912
Gentoo,Biscoe,44.5,14.8,225,Female,7633
Chinstrap,Dream,51.9,18.6,186,Female,5527
Chinstrap,Biscoe,54.4,19.4,201,Male,6431
Gentoo,Biscoe,47.8,14.3,216,,7350
Chinstrap,Dream,48.2,21.6,200,Female,5567
Gentoo,Dream,53.6,15.3,222,Male,7971
Gentoo,Dream,42.7,15.2,221,Male,7612
Gentoo,Dream,52.5,14.0,223,Female,7021
Adelie,Dream,35.5,17.9,180,Male,6150
Adelie,Biscoe,38.9,18.6,191,Female,5528
Adelie,Biscoe,36.7,16.9,204,Female,5766
Chinstrap,Biscoe,49.4,18.7,190,Female,5671
Adelie,Torgersen,34.6,18.1,190,Female,5373
Chinstrap,Dream,39.9,19.1,204,Male,6358
Chinstrap,Dream,51.0,18.7,194,Male,6080
Adelie,Dream,33.4,17.7,191,Male,6458
Chinstrap,Torgersen,42.8,19.6,193,Male,6003
Adelie,Biscoe,42.1,18.2,192,Female,5586
Adelie,Dream,35.5,17.8,197,Female,5436
Gentoo,Dream,50.2,15.1,214,Male,7988
Adelie,Dream,39.9,17.4,199,Female,5625
Adelie,Biscoe,36.9,16.9,189,Female,5474
Chinstrap,Torgersen,53.1,20.0,201,Female,5977
Gentoo,Torgersen,48.9,15.3,225,Male,7981
Adelie,Dream,39.0,17.3,188,Male,6279
Chinstrap,Dream,49.0,17.4,201,Male,6186
Adelie,Torgersen,36.3,17.5,188,Female,5281
Adelie,Dream,39.3,18.6,190,Male,6213
Chinstrap,Biscoe,46.0,20.5,198,Male,6274
Chinstrap,Dream,56.0,17.4,188,Male,6411
Chinstrap,Dream,48.2,18.0,194,Male,6297
Gentoo,Dream,45.9,15.7,208,Male,7833
Gentoo,Dream,47.2,14.4,222,Male,7608
Chinstrap,Torgersen,48.9,18.2,196,Female,6113
Adelie,Torgersen,40.4,17.4,187,Female,5535
Gentoo,Dream,45.4,14.2,209,Male,7938
Adelie,Biscoe,37.9,16.4,183,Male,5952
Chinstrap,Torgersen,46.3,17.4,180,Female,5618
Adelie,Torgersen,39.2,18.0,189,,5328
Adelie,Biscoe,45.1,18.0,186,Male,6276
Gentoo,Torgersen,43.9,13.8,209,Male,7716
Gentoo,Torgersen,49.6,12.9,212,Male,7853
Chinstrap,Dream,46.5,19.0,173,Male,6236
Chinstrap,Dream,44.2,17.5,198,Female,5484
Adelie,Biscoe,38.4,17.5,180,,5956
Adelie,Biscoe,40.7,16.9,198,Male,6370
Adelie,Biscoe,41.4,17.0,196,Male,6689
Chinstrap,Torgersen,49.1,16.7,216,Male,6503
Gentoo,Biscoe,48.9,14.4,220,Female,7439
Chinstrap,Biscoe,47.8,18.0,201,Female,5759
Adelie,Biscoe,40.2,16.7,191,Female,6001
Gentoo,Dream,45.6,15.2,213,Male,7489
Gentoo,Torgersen,51.9,16.3,223,Male,7987
Chinstrap,Biscoe,42.6,20.0,194,Female,5359
Chinstrap,Biscoe,49.2,15.7,193,Male,5806
Chinstrap,Dream,48.3,19.8,195,Male,6382
Adelie,Dream,41.1,17.2,189,Female,5619
Adelie,Biscoe,39.0,18.3,198,Female,5616
Gentoo,Dream,49.1,14.7,216,Female,7263
Adelie,Biscoe,41.3,19.0,183,Female,6157
Adelie,Biscoe,38.0,16.2,191,Male,6146
Adelie,Dream,39.5,17.9,184,Male,6235
Adelie,Dream,39.7,18.7,185,Female,5416
Gentoo,Torgersen,50.8,13.6,216,Male,7949
Gentoo,Biscoe,44.4,13.4,215,Female,7204
Chinstrap,Dream,46.5,18.6,186,Female,5541
Adelie,Dream,36.8,17.1,195,Male,6593
Chinstrap,Biscoe,42.8,19.6,194,Female,5921
Chinstrap,Dream,43.6,19.6,185,Male,6221
Adelie,Biscoe,38.9,18.2,186,Male,5692
Chinstrap,Torgersen,50.5,18.8,201,Male,6316
Adelie,Biscoe,41.7,19.4,189,Male,6736
Chinstrap,Dream,51.8,18.4,193,Female,5672
Chinstrap,Biscoe,47.2,17.1,201,Male,6600
Adelie,Torgersen,41.0,17.5,179,Female,5779
Adelie,Dream,42.6,20.4,193,Female,5688
Chinstrap,Dream,51.8,17.3,190,Female,5523
Chinstrap,Biscoe,47.9,18.0,198,Female,5264
Gentoo,Dream,48.8,13.2,215,Male,8013
Chinstrap,Biscoe,41.7,18.3,205,Male,6229
Adelie,Torgersen,38.0,18.7,197,Female,5698
Adelie,Biscoe,37.2,18.8,191,Female,5345
Chinstrap,Biscoe,45.5,21.0,194,,6244
Adelie,Biscoe,39.0,18.0,190,Female,5600
Chinstrap,Dream,49.1,17.4,195,Male,6375
Gentoo,Dream,48.9,15.0,224,Female,7142
Chinstrap,Biscoe,46.7,18.7,196,Male,6561
Adelie,Dream,39.0,18.2,185,Female,5425
Chinstrap,Dream,50.3,18.9,198,Female,5423
Chinstrap,Dream,45.2,18.4,197,Male,6300
Chinstrap,Dream,53.5,17.8,202,Female,5820
Gentoo,Dream,49.7,16.2,220,Female,7361
Adelie,Dream,40.4,17.9,187,Male,6448
Gentoo,Biscoe,46.6,14.8,213,Female,7200
Gentoo,Biscoe,47.3,14.5,215,Male,7845
Adelie,Torgersen,38.2,20.2,195,Male,6019
Adelie,Torgersen,42.8,18.0,191,Female,5791
Adelie,Biscoe,39.2,18.0,193,Female,5663
Adelie,Biscoe,37.9,17.9,186,Female,5463
Adelie,Dream,37.1,20.6,179,Female,5096
Chinstrap,Dream,49.2,18.2,191,Female,5970
Adelie,Biscoe,37.8,21.0,177,Female,5209
Adelie,Biscoe,39.3,18.1,188,Female,5457
Gentoo,Dream,49.7,14.4,210,Male,7901
Adelie,Dream,38.8,16.5,191,Female,5367
Gentoo,Biscoe,49.0,16.0,206,Male,7485
Adelie,Biscoe,42.0,16.9,197,Female,5251
Adelie,Biscoe,41.4,18.6,186,Female,5708
Chinstrap,Dream,45.4,20.2,200,Male,6245
Chinstrap,Biscoe,53.0,18.1,181,Female,6185
Gentoo,Biscoe,44.8,14.5,203,Female,6932
Gentoo,Dream,49.6,14.9,204,Male,7584
Gentoo,Biscoe,46.3,13.6,217,Female,7170
Adelie,Dream,35.6,17.6,177,Female,5494
Adelie,Biscoe,33.9,19.3,190,Female,5478
Gentoo,Biscoe,49.6,16.3,218,Male,8031
Gentoo,Biscoe,43.3,13.9,225,Female,7146
Gentoo,Dream,51.3,14.6,213,Female,6994
Chinstrap,Torgersen,46.6,18.2,213,Female,5529
Adelie,Torgersen,37.3,17.4,191,Female,5156
Gentoo,Biscoe,47.9,15.6,211,Male,7727
Adelie,Dream,34.8,19.7,194,Male,6152
Gentoo,Biscoe,48.8,14.8,215,Female,7149
Gentoo,Biscoe,44.3,14.5,217,Female,7517
Chinstrap,Torgersen,51.5,16.5,190,Male,6534
Gentoo,Biscoe,42.8,15.0,217,Male,7800
Gentoo,Biscoe,50.9,14.8,211,Female,6885
Adelie,Biscoe,42.0,18.8,186,Male,6058
Gentoo,Biscoe,52.3,14.3,207,Female,7093
Chinstrap,Biscoe,52.2,17.8,197,Male,6233
Gentoo,Dream,42.2,16.7,215,Male,7701
Adelie,Dream,37.6,18.9,186,Male,6013
Gentoo,Torgersen,51.3,16.0,227,Male,7932
Adelie,Torgersen,38.3,17.5,179,Female,5351
Adelie,Biscoe,43.4,18.9,186,Male,6223
Gentoo,Biscoe,48.0,13.9,210,,7890
Adelie,Biscoe,34.4,17.6,191,,5398
Adelie,Dream,42.8,18.3,196,Male,6532
Gentoo,Biscoe,52.0,16.2,222,Male,7762
Gentoo,Dream,46.4,16.0,234,Female,7125
Chinstrap,Dream,48.1,17.3,199,Male,6437
Chinstrap,Dream,43.2,19.0,191,Female,5494
Chinstrap,Dream,46.1,17.6,203,Female,5853
Adelie,Biscoe,40.6,15.6,191,,5132
Adelie,Torgersen,37.5,15.8,191,Female,5877
Chinstrap,Dream,44.7,18.6,190,,6387
Gentoo,Biscoe,47.3,14.1,228,Female,7096
Gentoo,Torgersen,47.6,14.9,222,Male,7647
Gentoo,Dream,45.1,15.5,217,Male,8211
Adelie,Torgersen,42.3,17.7,186,Male,6019
Chinstrap,Dream,50.2,18.5,207,Male,6288
Adelie,Dream,38.9,17.8,191,Male,5750
Chinstrap,Biscoe,48.8,18.6,201,Male,6308
Chinstrap,Biscoe,50.6,16.7,190,Male,6239
Gentoo,Dream,44.6,15.6,218,Male,8026
Adelie,Dream,44.2,19.2,192,Male,5962
Adelie,Biscoe,39.2,18.6,187,Male,5857
Adelie,Biscoe,37.8,18.9,195,Female,5733
Gentoo,Torgersen,43.0,16.0,222,Female,7518
Chinstrap,Torgersen,47.9,19.0,184,Female,5295
Adelie,Dream,36.2,20.4,184,Male,6334
Adelie,Biscoe,42.0,18.0,197,Female,5687
Gentoo,Biscoe,47.7,15.4,219,Female,7527
Adelie,Biscoe,36.0,18.2,193,Female,5597
Gentoo,Torgersen,48.0,14.9,214,Male,7359
Gentoo,Biscoe,45.8,16.7,220,Male,7883
Adelie,Dream,40.7,18.7,192,Male,6438
Adelie,Biscoe,41.5,16.5,189,Male,6020
Gentoo,Dream,51.7,14.7,217,Female,7231
Adelie,Dream,35.0,17.8,189,Female,5532
Adelie,Torgersen,42.9,16.9,187,Female,5009
Gentoo,Biscoe,50.0,15.6,216,Female,7621
Gentoo,Biscoe,43.9,14.3,224,Male,7762
Gentoo,Biscoe,50.0,13.6,214,Male,7967
Gentoo,Torgersen,52.3,15.2,214,Male,7859
Adelie,Torgersen,40.0,17.4,183,Female,5782
Adelie,Dream,44.6,19.2,174,Male,6142
Gentoo,Dream,50.7,13.5,212,Male,7810
Chinstrap,Dream,47.0,18.2,198,Female,5561
Chinstrap,Biscoe,46.2,19.3,204,Female,5956
Gentoo,Torgersen,48.6,15.5,204,Male,7389
Adelie,Dream,42.9,18.4,188,Male,6321
Chinstrap,Biscoe,47.2,17.8,205,Male,6198
Adelie,Dream,40.3,17.4,199,,6540
Chinstrap,Biscoe,51.3,18.3,198,Male,6400
Adelie,Biscoe,37.8,18.1,198,Male,6399
Adelie,Dream,36.5,18.2,196,Female,5660
Adelie,Biscoe,36.0,18.4,184,Female,5170
Chinstrap,Dream,45.8,19.6,192,Female,5511
Gentoo,Biscoe,49.3,16.0,223,Male,8093
Chinstrap,Biscoe,47.9,19.9,198,Female,5779
Gentoo,Biscoe,51.0,13.8,212,Male,8090
Adelie,Biscoe,38.1,19.5,187,Male,6239
Adelie,Dream,39.6,19.3,178,Female,5289
Gentoo,Biscoe,44.3,16.5,213,Male,7672
Adelie,Dream,41.1,17.2,191,Male,6240
Gentoo,Dream,47.0,15.8,215,Female,6799
Adelie,Dream,38.3,19.4,186,Female,5890
Gentoo,Torgersen,46.4,15.4,213,Female,7330
Adelie,Dream,38.1,17.6,198,Male,6512
Gentoo,Biscoe,50.1,13.7,225,Female,7061
Chinstrap,Biscoe,52.4,17.0,203,,6070
Gentoo,Biscoe,42.5,14.2,217,Male,8304
Adelie,Dream,40.6,19.5,181,Female,5250
Chinstrap,Biscoe,47.5,17.7,195,Female,5867
Gentoo,Dream,43.5,14.4,211,Female,7212
Chinstrap,Dream,47.7,20.1,191,Male,5967
Chinstrap,Biscoe,50.9,19.2,208,Male,6566
Chinstrap,Dream,47.6,17.1,203,Male,6568
Chinstrap,Biscoe,50.0,18.3,191,Male,6167
Chinstrap,Biscoe,48.7,17.5,187,Female,5871
Chinstrap,Dream,52.5,18.0,193,Male,5991
Gentoo,Dream,45.4,13.7,208,Male,7486
Adelie,Dream,39.6,19.7,187,Female,5593
Adelie,Dream,43.4,19.2,187,Female,5589
Gentoo,Biscoe,47.3,17.2,228,Female,7253
Gentoo,Torgersen,45.3,15.6,210,Male,7966
Chinstrap,Dream,46.8,15.2,198,Male,6453
Chinstrap,Dream,53.3,20.7,186,Male,6429
Adelie,Biscoe,40.8,19.4,182,Female,5504
Adelie,Dream,39.8,18.0,181,Female,5633
Chinstrap,Biscoe,52.3,18.4,196,Male,6258
Adelie,Biscoe,40.6,17.0,194,Female,6056
Chinstrap,Torgersen,48.6,20.3,194,Female,5547
Adelie,Biscoe,35.5,17.6,202,Female,6118
Gentoo,Torgersen,49.0,15.0,224,Male,7972
Gentoo,Dream,43.7,15.8,212,Female,6944
