주차장명,소재지지번주소,주차구획수
노원로인근3,대구광역시 북구 노원동3가 252-3,38
노원로인근4,대구광역시 북구 노원동3가 252-3,41
대구역북편,대구광역시 북구 칠성동2가 490-1,23
대구체육관로10길인근,대구광역시 북구 산격동 1497-20,14
대구체육관로11길인근,대구광역시 북구 산격동 1499-3,17
대구체육관로9길인근,대구광역시 북구 산격동 1427-1,41
대구체육관로인근,대구광역시 북구 산격동 1444-1,5
대동로4길인근,대구광역시 북구 산격동 1499-2,8
대동로8길인근,대구광역시 북구 산격동 1267-25,12
대동로9길인근,대구광역시 북구 산격동 1265-2,13
대불로5길인근,대구광역시 북구 산격동 산9-28,14
대천로7길인근,대구광역시 북구 읍내동 1348,7
대천로9길인근,대구광역시 북구 읍내동 1352,28
대학로15길인근,대구광역시 북구 산격동 1499-1,3
대학로17길인근,대구광역시 북구 산격동 1499-1,8
대학로23길인근,대구광역시 북구 산격동 1499-1,2
대학로25길인근,대구광역시 북구 산격동 1499-1,19
대학로9길인근,대구광역시 북구 산격동 1417-40,10
대학로인근,대구광역시 북구 산격동 1319-1,33
대현남로8길인근,대구광역시 북구 대현동 272-27,15
대현남로9길인근,대구광역시 북구 대현동 272-27,14
대현로10길인근,대구광역시 북구 대현동 439-4,5
대현로13길인근,대구광역시 북구 대현동 526,14
대현로19길인근,대구광역시 북구 대현동 103-35,80
대현로21길인근,대구광역시 북구 대현동 112-44,30
대현로3길인근,대구광역시 북구 대현동 236-12,9
대현로9길인근,대구광역시 북구 대현동 241,38
대현로서15길인근,대구광역시 북구 대현동 526,31
동북로26길인근,대구광역시 북구 산격동 1203-64,14
동북로37길인근,대구광역시 북구 산격동 493-4,17
동북로50길인근,대구광역시 북구 복현동 623,10
동북로53길인근,대구광역시 북구 복현동 332-1,37
동북로55길인근,대구광역시 북구 복현동 623,10
동북로57길인근,대구광역시 북구 복현동 623,39
동암로7길인근,대구광역시 북구 읍내동 1234-184,47
동천교인근,대구광역시 북구 구암동 761-2,19
백사벌네거리(남편),대구광역시 북구 침산동 1208,56
백사벌네거리(북편),대구광역시 북구 침산동 1208,23
복현로북2길인근,대구광역시 북구 복현동 623,14
북구청인근,대구광역시 북구 침산동 449-5,39
북부소방서뒤편,대구광역시 북구 칠성동2가 302-93,24
북침산네거리(북편),대구광역시 북구 침산동 543-4,16
산격로10길인근,대구광역시 북구 산격동 1499-1,10
산격로13길인근,대구광역시 북구 산격동 1185-38,3
산격로19길인근,대구광역시 북구 산격동 1499-2,7
산격로8길인근,대구광역시 북구 산격동 1499-1,15
산격로9길인근,대구광역시 북구 산격동 1426-52,24
성북로13길인근,대구광역시 북구 침산동 333-3,10
성북로5길인근,대구광역시 북구 침산동 551-8,134
성북로9길인근,대구광역시 북구 침산동 339-2,39
시체육회앞,대구광역시 북구 고성동3가 2,59
신천교,대구광역시 북구 칠성동2가 409-6,27
신천교고가도로밑,대구광역시 북구 칠성동1가 287,46
신천동로(대현동),대구광역시 북구 대현동 524,11
신천동로146길인근,대구광역시 북구 대현동 524,12
신천동로148길인근,대구광역시 북구 대현동 524,15
연암공원로10길인근,대구광역시 북구 산격동 1436-10,16
연암공원로14길인근,대구광역시 북구 산격동 1186-111,10
연암공원로28길인근,대구광역시 북구 산격동 1499-2,4
연암공원로32길인근,대구광역시 북구 산격동 1203-12,34
연암공원로인근,대구광역시 북구 산격동 975-2,15
연암로인근,대구광역시 북구 산격동 796-37,48
영송로인근,대구광역시 북구 태전동 950,8
오봉로10길인근,대구광역시 북구 노원동1가 273,13
오봉로1길인근,대구광역시 북구 노원동2가 1,12
오봉로1길인근(보성아파트),대구광역시 북구 노원동2가 1,11
오봉로3길인근,대구광역시 북구 노원동2가 1,10
오봉로6길인근,대구광역시 북구 노원동1가 273,18
오봉로7길인근,대구광역시 북구 노원동2가 1,19
오봉로인근,대구광역시 북구 노원동3가 1208,135
옥산로3길인근,대구광역시 북구 노원동1가 271,10
옥산로5길인근,대구광역시 북구 노원동1가 529,28
옥산로9길인근,대구광역시 북구 노원동1가 15-19,28
옥산로인근(북구),대구광역시 북구 고성동3가 143,25
원대로19길인근,대구광역시 북구 노원동1가 382,25
원대로21길인근,대구광역시 북구 노원동1가 529,12
원대로23길인근,대구광역시 북구 노원동1가 19-9,4
원대로25길인근,대구광역시 북구 노원동1가 19-6,31
유통단지로21길인근,대구광역시 북구 산격동 1580,42
중앙대로105길인근,대구광역시 북구 칠성동2가 351-9,17
중앙대로118길인근,대구광역시 북구 침산동 101-3,19
지하철대구역인근,대구광역시 북구 칠성동2가 302-338,9
청운로인근,대구광역시 북구 침산동 1693-1,7
칠곡중앙대로105길인근,대구광역시 북구 읍내동 1304,75
칠곡중앙대로75길인근,대구광역시 북구 태전동 962,15
칠곡중앙대로77길인근,대구광역시 북구 태전동 944,73
칠곡중앙대로80길인근,대구광역시 북구 태전동 1002,30
칠곡중앙대로86길인근,대구광역시 북구 읍내동 1378,39
칠곡중앙대로91길인근,대구광역시 북구 관음동 1359,17
칠곡중앙대로인근,대구광역시 북구 읍내동 794-1,56
칠성공구상가앞,대구광역시 북구 칠성동1가 279-1,8
칠성교북편,대구광역시 북구 대현동 389,10
칠성꽃시장,대구광역시 북구 칠성동2가 302-94,23
칠성남로16길인근,대구광역시 북구 칠성동2가 302-93,61
칠성남로2길인근,대구광역시 북구 고성동1가 95-4,71
칠성남로31길인근,대구광역시 북구 칠성동2가 538-13,6
칠성남로인근(고성동),대구광역시 북구 고성동2가 110-41,102
칠성농협앞,대구광역시 북구 칠성동1가 171-12,30
칠성로17길인근,대구광역시 북구 침산동 163-8,32
칠성시장고가도로밑,대구광역시 북구 침산동 78-7,76
칠성시장광로,대구광역시 북구 칠성동2가 407-8,37
칠성시장남편,대구광역시 북구 칠성동1가 279-1,39
칠성시장동편,대구광역시 북구 칠성동1가 279-1,16
칠성시장방범초소,대구광역시 북구 칠성동2가 409-24,24
칠성시장북편,대구광역시 북구 칠성동1가 279-1,9
칠성시장서편도로,대구광역시 북구 칠성동1가 236-1,30
칠성전자상가앞,대구광역시 북구 칠성동1가 279-1,7
침산남로31길인근,대구광역시 북구 침산동 286-1,14
침산남로39길인근,대구광역시 북구 침산동 5-1,18
침산남로9길인근,대구광역시 북구 침산동 1706-4,10
침산로40길인근,대구광역시 북구 침산동 531-3,4
침산로42길인근,대구광역시 북구 침산동 581,7
침산로46길인근,대구광역시 북구 침산동 565,3
침산로48길인근,대구광역시 북구 침산동 594,10
침산로인근,대구광역시 북구 침산동 823,30
태암교(동편),대구광역시 북구 구암동 714,39
태암교(서편),대구광역시 북구 태전동 1030,49
태암남로1길인근,대구광역시 북구 태전동 1041,25
태암로1길인근,대구광역시 북구 태전동 1004,8
태암로2길인근,대구광역시 북구 태전동 1039,31
태암로3길인근,대구광역시 북구 태전동 1019,41
태암로4길인근,대구광역시 북구 태전동 1043,25
태암로5길인근,대구광역시 북구 태전동 1026,33
태암로6길인근,대구광역시 북구 태전동 1045,42
팔거천서로35길인근,대구광역시 북구 읍내동 1351-2,35
팔거천서로인근,대구광역시 북구 태전동 1073-31,52
팔달로37길인근,대구광역시 북구 노원동2가 1,27
팔달로41길인근,대구광역시 북구 노원동2가 1,90
팔달북로2길인근,대구광역시 북구 노원동3가 252-3,21
팔달북로3길인근,대구광역시 북구 노원동3가 252-3,68
팔달북로7길인근,대구광역시 북구 노원동3가 252-3,41
팔달북로인근,대구광역시 북구 노원동3가 436,100
풍국면앞,대구광역시 북구 노원동3가 252-3,16
한국농촌공사,대구광역시 북구 구암동 651,30
힘나라2길인근,대구광역시 북구 노원동3가 252-3,43
1·2,대구광역시 북구 칠성동2가 310-1,50
EXPO,대구광역시 북구 복현동 478-5,18
RGB Tower,대구광역시 북구 동천동 903-4,52
강북,대구광역시 북구 구암동 653-1,16
경명여고앞,대구광역시 북구 칠성동2가 385-2,40
공단,대구광역시 북구 노원동3가 183-19,34
관음(공영),대구광역시 북구 관음동 448-1,169
관음동 1255-14공영,대구광역시 북구 관음동 1255-14,6
관음동1275-27공영,대구광역시 북구 관음동 1275-27,6
관음동1284-5공영,대구광역시 북구 관음동 1284-5,12
구수산(공영),대구광역시 북구 읍내동 1077-1,48
구암동주민센터(공영),대구광역시 북구 구암동 788-3,46
노곡교남단1(공영),대구광역시 북구 노곡동 990,200
노곡교남단2(공영),대구광역시 북구 노곡동 876,200
노원(공영),대구광역시 북구 노원동1가 16-1,82
동변(공영),대구광역시 북구 동변동 670,53
동천동복합청사공영,대구광역시 북구 동천동 930-1,25
동편업무지구(공영),대구광역시 북구 산격동 1687,123
동호동(공영),대구광역시 북구 동호동 262-2,10
복현동임시공영주차장,대구광역시 북구 복현동 127,8
북구문화회관앞(공영),대구광역시 북구 산격동 120,110
산격(공영),대구광역시 북구 산격동 1264-1,43
산격3동공영,대구광역시 북구 산격동 1410-4,51
산업용재관남편(공영),대구광역시 북구 산격동 1631,112
서변1(공영),대구광역시 북구 서변동 1777,91
서변2(공영),대구광역시 북구 서변동 1791,95
서편업무지구(공영),대구광역시 북구 산격동 1639,105
신기공원북편(공영),대구광역시 북구 산격동 1617,58
신천둔치(공영),대구광역시 북구 칠성동1가 276-165,437
우편집중국서편(공영),대구광역시 북구 산격동 1567,29
읍내동임시공영,대구광역시 북구 읍내동 412-5,10
임시공영(공영청사부지),대구광역시 북구 구암동 771-3,338
임시공영(관음동),대구광역시 북구 관음동 1230-2,120
임시공영(복현1동)1,대구광역시 북구 복현동 404-3,23
임시공영(복현1동)2,대구광역시 북구 복현동 615-31,23
임시공영(침산1동),대구광역시 북구 침산동 1310-2,17
임시공영(팔달동),대구광역시 북구 팔달동 151-36,17
전자관북편1(공영),대구광역시 북구 산격동 338-2,107
전자관북편2(공영),대구광역시 북구 산격동 603-9,104
조야교남편(공영),대구광역시 북구 조야동 436-2,74
칠성(공영),대구광역시 북구 칠성동1가 184-10,165
칠성동2가(공영),대구광역시 북구 칠성동2가 409-613,19
태전1동임시공영,대구광역시 북구 태전동 302-8,11
팔달신시장(공영),대구광역시 북구 노원동3가 883-3,164
패션센터남편(공영),대구광역시 북구 산격동 1670,66
관음제2공영,대구광역시 북구 관음동 185,44
무지개공영주차장,대구광역시 북구 산격동 1393,51
복현장미공원 공영주차장,대구광역시 북구 복현동 439-1,96
산격4동공영주차장,대구광역시 북구 산격동 1216-24,63
운암지 공영주차장(노상),대구광역시 북구 구암동 615-13,40
운암지 공영주차장(노외),대구광역시 북구 구암동 615-13,140
