순번,주차장관리번호,주차장명,주차장 유형,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공유일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권적용시간,월정기요금,결제방법,관리기관명,경도,위도
11,154-1-000011,경진로남1길인근,노상,대구광역시 북구 복현동 436-1,17,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.89378323,128.616552
12,154-1-000012,경진로인근,노상,대구광역시 북구 복현동 623,92,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.89526277,128.6213799
13,154-1-000013,고성로34길인근,노상,대구광역시 북구 고성동2가 130,9,1,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.88013585,128.5850979
14,154-1-000014,고성로37길인근,노상,대구광역시 북구 고성동3가 2,57,1,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.8816737,128.5874162
15,154-1-000015,고성북로10길인근,노상,대구광역시 북구 고성동3가 143,15,1,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.8824546,128.5826776
16,154-1-000016,고성북로1인근,노상,대구광역시 북구 고성동3가 143,65,1,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.88408994,128.5841447
17,154-1-000017,고성북로2인근,노상,대구광역시 북구 고성동3가 143,87,1,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.88408994,128.5841447
18,154-1-000018,관은동로32길인근,노상,대구광역시 북구 읍내동 1295-6,27,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.94592832,128.5477642
19,154-1-000019,관음동로13길인근,노상,대구광역시 북구 관음동 1346,43,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.93854663,128.5457736
20,154-1-000020,관음동로31길인근,노상,대구광역시 북구 관음동 1240,6,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.94531367,128.546175
21,154-1-000021,관음동로9길인근,노상,대구광역시 북구 관음동 1357,8,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.93739551,128.5452115
22,154-1-000022,관음동로인근,노상,대구광역시 북구 읍내동 1311,9,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.94232272,128.5478391
23,154-1-000023,관음중앙로17길인근,노상,대구광역시 북구 관음동 1244,26,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.94453219,128.5436091
24,154-1-000024,관음중앙로21길인근,노상,대구광역시 북구 관음동 1252,75,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.94460696,128.5450063
25,154-1-000025,관음중앙로28길인근,노상,대구광역시 북구 관음동 1293,60,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.9423983,128.5469196
26,154-1-000026,관음중앙로7길인근,노상,대구광역시 북구 관음동 1322,11,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.9381848,128.5429619
27,154-1-000027,관음중앙로인근,노상,대구광역시 북구 관음동 1373,62,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.9342516,128.5457551
28,154-1-000028,구암로15길인근,노상,대구광역시 북구 읍내동 1339,43,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.93539165,128.5497971
29,154-1-000029,구암로16길인근,노상,대구광역시 북구 태전동 996,20,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.9314973,128.5491657
30,154-1-000030,구암로17길인근,노상,대구광역시 북구 읍내동 1368,37,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.93396329,128.5507292
31,154-1-000031,구암로인근,노상,대구광역시 북구 구암동 839,40,3,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시청,35.93172976,128.5639126
32,154-1-000032,노곡로인근,노상,대구광역시 북구 노곡동 282-1,20,3,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.90536223,128.5628498
33,154-1-000033,노원네거리(북편),노상,대구광역시 북구 침산동 1208,22,3,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시청,35.89919158,128.5865678
34,154-1-000034,노원동로7길,노상,대구광역시 북구 노원동3가 1120-2,11,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.89538603,128.575828
35,154-1-000035,노원동로인근(수성전기재료백화점),노상,대구광역시 북구 노원동2가 13-3,37,2,미시행,평일+토요일,08:30:00,19:00:00,08:30:00,19:00:00,00:00:00,00:00:00,유료,30,600,10,300,0,6000,80000,현금,대구광역시 북구청,35.89345536,128.5762127
36,154-1-000036,노원로10길(대구산업-노원새마을금고),노상,대구광역시 북구 노원동2가 1,102,2,미시행,평일+토요일,08:30:00,19:00:00,08:30:00,19:00:00,00:00:00,00:00:00,유료,30,600,10,300,0,6000,80000,현금,대구광역시 북구청,35.88867297,128.5696997
37,154-1-000037,노원로10길인근,노상,대구광역시 북구 노원동2가 1,3,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.88867297,128.5696997
38,154-1-000038,노원로17길인근,노상,대구광역시 북구 노원동3가 252-3,37,3,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.8898311,128.5610742
39,154-1-000039,노원로25길인근,노상,대구광역시 북구 노원동3가 252-3,41,3,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.8951542,128.5718172
40,154-1-000040,노원로40길인근,노상,대구광역시 북구 침산동 1208,12,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.89919158,128.5865678
41,154-1-000041,노원로9길인근,노상,대구광역시 북구 노원동3가 234,58,3,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.89447588,128.5675754
42,154-1-000042,노원로인근1,노상,대구광역시 북구 노원동3가 252-3,14,2,미시행,평일,07:00:00,16:00:00,00:00:00,00:00:00,00:00:00,00:00:00,유료,30,600,10,300,3000,60000,0,0,대구광역시청,35.8898311,128.5610742
43,154-1-000043,노원로인근2,노상,대구광역시 북구 노원동3가 252-3,40,2,미시행,평일,08:00:00,18:00:00,00:00:00,00:00:00,00:00:00,00:00:00,유료,30,600,10,300,3000,60000,0,0,대구광역시청,35.8898311,128.5610742
44,154-1-000044,노원로인근3,노상,대구광역시 북구 노원동3가 252-3,38,3,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시청,35.8898311,128.5610742
45,154-1-000045,노원로인근4,노상,대구광역시 북구 노원동3가 252-3,41,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시청,35.8898311,128.5610742
46,154-1-000047,대구역북편,노상,대구광역시 북구 칠성동2가 490-1,23,1,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시청,35.87758404,128.5962867
47,154-1-000048,대구체육관로10길인근,노상,대구광역시 북구 산격동 1497-20,14,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.8914535,128.6038566
48,154-1-000049,대구체육관로11길인근,노상,대구광역시 북구 산격동 1499-3,17,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.8932259,128.6044904
49,154-1-000050,대구체육관로9길인근,노상,대구광역시 북구 산격동 1427-1,41,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.89375613,128.6030093
50,154-1-000051,대구체육관로인근,노상,대구광역시 북구 산격동 1444-1,5,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.8902659,128.6010649
51,154-1-000052,대동로4길인근,노상,대구광역시 북구 산격동 1499-2,8,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.89104648,128.6059248
52,154-1-000053,대동로8길인근,노상,대구광역시 북구 산격동 1267-25,12,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.89652368,128.610032
53,154-1-000054,대동로9길인근,노상,대구광역시 북구 산격동 1265-2,13,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.89720335,128.6110785
54,154-1-000055,대불로5길인근,노상,대구광역시 북구 산격동 산9-28,14,3,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.90263622,128.6114859
55,154-1-000056,대천로7길인근,노상,대구광역시 북구 읍내동 1348,7,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.9403671,128.5536665
56,154-1-000057,대천로9길인근,노상,대구광역시 북구 읍내동 1352,28,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.93916208,128.5550213
57,154-1-000058,대학로15길인근,노상,대구광역시 북구 산격동 1499-1,3,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.89455585,128.6088427
58,154-1-000059,대학로17길인근,노상,대구광역시 북구 산격동 1499-1,8,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.89455585,128.6088427
59,154-1-000060,대학로23길인근,노상,대구광역시 북구 산격동 1499-1,2,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.89455585,128.6088427
60,154-1-000061,대학로25길인근,노상,대구광역시 북구 산격동 1499-1,19,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.89455585,128.6088427
61,154-1-000062,대학로9길인근,노상,대구광역시 북구 산격동 1417-40,10,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.8911286,128.6063731
62,154-1-000063,대학로인근,노상,대구광역시 북구 산격동 1319-1,33,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시청,35.89285578,128.6098518
63,154-1-000064,대현남로8길인근,노상,대구광역시 북구 대현동 272-27,15,1,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.88180651,128.6097638
64,154-1-000065,대현남로9길인근,노상,대구광역시 북구 대현동 272-27,14,1,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.88180651,128.6097638
65,154-1-000066,대현로10길인근,노상,대구광역시 북구 대현동 439-4,5,1,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.88260472,128.6034237
66,154-1-000067,대현로13길인근,노상,대구광역시 북구 대현동 526,14,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.88659565,128.6055917
67,154-1-000068,대현로19길인근,노상,대구광역시 북구 대현동 103-35,80,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.88629636,128.6112825
68,154-1-000069,대현로21길인근,노상,대구광역시 북구 대현동 112-44,30,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.88388222,128.6110091
69,154-1-000070,대현로3길인근,노상,대구광역시 북구 대현동 236-12,9,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.88713607,128.6038791
70,154-1-000071,대현로9길인근,노상,대구광역시 북구 대현동 241,38,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.88909849,128.6143217
71,154-1-000072,대현로서15길인근,노상,대구광역시 북구 대현동 526,31,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.88659565,128.6055917
72,154-1-000073,동북로26길인근,노상,대구광역시 북구 산격동 1203-64,14,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.90068702,128.6066299
73,154-1-000074,동북로37길인근,노상,대구광역시 북구 산격동 493-4,17,3,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.9004714,128.613574
74,154-1-000075,동북로50길인근,노상,대구광역시 북구 복현동 623,10,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.89526277,128.6213799
75,154-1-000076,동북로53길인근,노상,대구광역시 북구 복현동 332-1,37,3,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.89461348,128.6220753
76,154-1-000077,동북로55길인근,노상,대구광역시 북구 복현동 623,10,3,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.89526277,128.6213799
77,154-1-000078,동북로57길인근,노상,대구광역시 북구 복현동 623,39,3,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.89526277,128.6213799
78,154-1-000079,동암로7길인근,노상,대구광역시 북구 읍내동 1234-184,47,3,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.94597857,128.5544706
79,154-1-000080,동천교인근,노상,대구광역시 북구 구암동 761-2,19,3,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시청,35.93168424,128.5550631
80,154-1-000081,백사벌네거리(남편),노상,대구광역시 북구 침산동 1208,56,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시청,35.89919158,128.5865678
81,154-1-000082,백사벌네거리(북편),노상,대구광역시 북구 침산동 1208,23,3,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시청,35.89919158,128.5865678
82,154-1-000083,복현로북2길인근,노상,대구광역시 북구 복현동 623,14,3,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.89526277,128.6213799
83,154-1-000084,북구청인근,노상,대구광역시 북구 침산동 449-5,39,1,미시행,평일+토요일,08:00:00,18:00:00,00:00:00,00:00:00,00:00:00,00:00:00,유료,30,1000,10,500,0,0,0,0,대구광역시청,35.88809698,128.582742
84,154-1-000085,북부소방서뒤편,노상,대구광역시 북구 칠성동2가 302-93,24,1,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.87750286,128.5926647
85,154-1-000086,북침산네거리(북편),노상,대구광역시 북구 침산동 543-4,16,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시청,35.89347056,128.5897599
86,154-1-000087,산격로10길인근,노상,대구광역시 북구 산격동 1499-1,10,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.89455585,128.6088427
87,154-1-000088,산격로13길인근,노상,대구광역시 북구 산격동 1185-38,3,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.89722774,128.6027042
88,154-1-000089,산격로19길인근,노상,대구광역시 북구 산격동 1499-2,7,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.89104648,128.6059248
89,154-1-000090,산격로8길인근,노상,대구광역시 북구 산격동 1499-1,15,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.89455585,128.6088427
90,154-1-000091,산격로9길인근,노상,대구광역시 북구 산격동 1426-52,24,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.89493084,128.6042043
91,154-1-000092,성북로13길인근,노상,대구광역시 북구 침산동 333-3,10,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.89216791,128.590725
92,154-1-000093,성북로5길인근,노상,대구광역시 북구 침산동 551-8,134,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시청,35.89496634,128.5880098
93,154-1-000094,성북로9길인근,노상,대구광역시 북구 침산동 339-2,39,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.89145827,128.5884047
94,154-1-000095,시체육회앞,노상,대구광역시 북구 고성동3가 2,59,1,미시행,평일+토요일,09:00:00,19:00:00,09:00:00,19:00:00,00:00:00,00:00:00,유료,30,1000,10,500,0,0,50000,0,대구광역시청,35.88301806,128.5861564
95,154-1-000096,신천교,노상,대구광역시 북구 칠성동2가 409-6,27,1,미시행,평일+토요일+공휴일,07:00:00,18:30:00,07:00:00,18:30:00,07:00:00,18:30:00,유료,30,500,10,250,0,0,0,0,대구광역시청,35.87980685,128.6023836
96,154-1-000097,신천교고가도로밑,노상,대구광역시 북구 칠성동1가 287,46,1,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,유료,30,500,10,250,0,5000,50000,0,대구광역시청,35.87512466,128.608594
97,154-1-000098,신천동로(대현동),노상,대구광역시 북구 대현동 524,11,1,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시청,35.88441248,128.6024075
98,154-1-000099,신천동로146길인근,노상,대구광역시 북구 대현동 524,12,1,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.88441248,128.6024075
99,154-1-000100,신천동로148길인근,노상,대구광역시 북구 대현동 524,15,1,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.88441248,128.6024075
100,154-1-000101,연암공원로10길인근,노상,대구광역시 북구 산격동 1436-10,16,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.8944331,128.6010214
101,154-1-000102,연암공원로14길인근,노상,대구광역시 북구 산격동 1186-111,10,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.89700877,128.6014397
