고객ID,나이,멤버십등급,월평균구매금액,구매횟수,리뷰점수,이탈여부,성별_남,성별_여,거주지역_경기,거주지역_기타,거주지역_대구,거주지역_부산,거주지역_서울,가입경로_광고,가입경로_앱,가입경로_웹,가입경로_지인추천,쿠폰사용여부_N,쿠폰사용여부_Y,회당평균구매금액
C0090,1.2400513800016195,0,-1.2275702152847587,-0.853637325928691,-0.6201819126779821,1,False,True,False,False,False,False,True,False,False,True,False,True,False,-0.6799674050400552
C0091,-0.2212886301012991,0,-1.1292284426241117,-1.0769856581967945,-0.9906609525095116,1,False,True,False,True,False,False,False,False,True,False,False,True,False,-0.2381133440959218
C0092,1.1008761409441987,0,-0.7063391779096019,-1.0769856581967945,-0.43494239276221686,0,False,True,True,False,False,False,False,False,False,True,False,True,False,0.509866366768361
C0093,1.2400513800016195,3,1.9141752060136077,2.719935990360963,1.7879318462269636,0,True,False,True,False,False,False,False,False,True,False,False,False,True,-0.4894214875466744
C0094,-0.3604638691587199,1,2.7204345133150443,-0.853637325928691,0.6764947267323725,1,False,True,False,False,True,False,False,False,True,False,False,False,True,4.557267874594807
C0095,1.4488142385877507,2,0.32864788883709606,0.9331493322161358,1.7879318462269636,0,True,False,False,False,False,False,True,False,False,True,False,True,False,-0.5276591751118174
C0096,-0.7779895863309824,1,-0.04025028097487487,-0.853637325928691,0.6764947267323725,0,False,True,False,False,False,False,True,False,False,True,False,True,False,0.8950747429937542
C0097,-0.9171648253884032,0,-1.1881009192539986,-0.853637325928691,-1.5463795122568071,1,False,True,False,False,True,False,False,False,True,False,False,True,False,-0.6276093143475043
C0098,0.6833504237719362,0,-0.5789424474858764,-1.0769856581967945,-1.5463795122568071,1,False,True,False,False,True,False,False,False,False,False,True,True,False,0.7351976237623713
C0099,-0.012525771515167854,2,1.3458640018639951,-0.18359232912438098,0.6764947267323725,0,False,True,False,True,False,False,False,True,False,False,False,False,True,0.9263127887848955
C0100,-1.2651029230319553,0,-0.7814706093407927,-0.6302889936605877,-1.1759004724252766,1,False,True,False,False,True,False,False,False,True,False,False,True,False,-0.3672958131193384
C0101,1.2400513800016195,3,1.9359448417314296,1.6031943290204458,0.49125520681660817,0,False,True,True,False,False,False,False,False,True,False,False,False,True,-0.15029186100715666
C0102,-1.056340064445824,0,-1.0010731376341924,-1.5236823227330012,-1.1759004724252766,0,False,True,False,False,False,True,False,False,True,False,False,True,False,2.9330939275957055
C0103,1.1008761409441987,1,-0.698840097949328,0.26310433541182576,-0.43494239276221686,1,False,True,False,True,False,False,False,False,False,False,True,True,False,-0.8147615897869125
C0104,-1.752216259732928,2,0.4615980342613452,1.3798459967523424,0.12077616698507782,0,True,False,False,False,True,False,False,False,False,False,True,False,True,-0.6138474127703548
C0105,1.1008761409441987,0,-1.1544161295475628,-0.18359232912438098,-0.9906609525095116,1,False,True,False,True,False,False,False,False,True,False,False,False,True,-0.9689744640161718
C0106,1.0312885214154883,0,-1.2449110876914102,-0.6302889936605877,0.12077616698507782,1,False,True,False,False,False,True,False,False,False,False,True,True,False,-0.8591182885376027
C0107,1.0312885214154883,3,2.2270880967878726,1.8265426612885494,-0.06446335293068653,0,True,False,False,False,False,True,False,False,True,False,False,False,True,-0.13707614111753752
C0108,0.6137628042432258,0,-0.8053877958657567,-0.18359232912438098,1.0469737665639027,0,False,True,False,False,False,False,True,False,True,False,False,False,True,-0.7044005295266539
C0109,-0.08211339104387827,1,-0.1391965904953634,0.4864526676799291,0.12077616698507782,0,False,True,False,False,True,False,False,True,False,False,False,True,False,-0.5846975998154266
C0110,-0.012525771515167854,1,-0.3152009244779287,0.26310433541182576,-0.2497028728464517,0,False,True,True,False,False,False,False,False,True,False,False,True,False,-0.5885760435201918
C0111,-0.012525771515167854,0,-0.9192979346135578,-1.3003339904648978,-0.06446335293068653,0,False,True,False,False,True,False,False,False,True,False,False,True,False,0.9416513946199742
C0112,1.0312885214154883,2,0.8621241514847199,0.7098009999480325,0.8617342466481385,0,True,False,False,False,True,False,False,False,False,True,False,False,True,-0.1834059679406953
C0113,0.19623708707096338,2,0.6073629497245013,0.9331493322161358,1.0469737665639027,0,False,True,False,True,False,False,False,False,False,True,False,True,False,-0.40441579436720226
C0114,-0.15170101057258867,0,-0.7394972890816427,-1.5236823227330012,0.6764947267323725,0,True,False,False,True,False,False,False,True,False,False,False,False,True,4.321070241216483
C0115,0.057061848013542554,2,0.5655367309566327,0.9331493322161358,0.12077616698507782,0,False,True,False,False,False,False,True,True,False,False,False,False,True,-0.42291068512876917
C0116,-0.012525771515167854,0,-0.9625590086033485,0.26310433541182576,-0.2497028728464517,1,False,True,False,False,True,False,False,False,True,False,False,False,True,-0.9702446842983521
C0117,-1.6826286402042177,0,-1.2346657208324265,-0.6302889936605877,-0.6201819126779821,1,True,False,False,False,True,False,False,False,True,False,False,False,True,-0.8482454754676546
C0118,-1.2651029230319553,1,-0.7416549530878388,0.4864526676799291,-1.1759004724252766,0,True,False,True,False,False,False,False,False,False,False,True,False,True,-0.9043746425731124
C0119,-0.9171648253884032,3,1.7200838858194825,1.8265426612885494,1.973171366142728,0,True,False,False,False,False,False,True,False,True,False,False,False,True,-0.3052180585633163
C0120,-1.404278162089376,0,-0.8606814987360473,-0.853637325928691,0.12077616698507782,0,True,False,False,False,False,False,True,True,False,False,False,False,True,-0.1932702853305916
C0121,-0.2212886301012991,0,-1.2037985462100538,-0.6302889936605877,-1.3611399923410419,1,True,False,False,False,False,True,False,False,False,True,False,True,False,-0.8154879349826869
C0122,0.6137628042432258,1,-0.2450385140081979,-0.6302889936605877,-0.06446335293068653,0,True,False,True,False,False,False,False,False,True,False,False,True,False,0.20198842799669586
C0123,0.6137628042432258,2,0.6293637313017737,0.26310433541182576,-0.6201819126779821,0,True,False,False,True,False,False,False,False,False,False,True,False,True,-0.03168069125842244
C0124,-0.08211339104387827,0,-1.4261015542805116,-0.18359232912438098,-1.7316190321725722,1,True,False,True,False,False,False,False,False,True,False,False,False,True,-1.1749201561804723
C0125,1.30963899953033,0,-1.108985693977506,-0.18359232912438098,-0.06446335293068653,1,False,True,False,True,False,False,False,False,False,True,False,True,False,-0.934536832671032
C0126,0.2658247065996738,2,0.7197058654637254,0.26310433541182576,0.30601568690084296,1,True,False,True,False,False,False,False,False,False,True,False,True,False,0.021583121144837836
C0127,-1.4738657816180865,0,-0.776204206681694,-0.4069406613924843,-1.5463795122568071,1,True,False,False,False,False,True,False,False,False,True,False,True,False,-0.5487069908540304
C0128,0.9617009018867779,0,-1.1699487733493683,-0.853637325928691,-0.6201819126779821,0,True,False,False,False,False,False,True,False,True,False,False,False,True,-0.6035295410270385
C0129,0.2658247065996738,0,-0.8346271618389017,-0.6302889936605877,-1.1759004724252766,1,False,True,False,False,True,False,False,False,False,True,False,True,False,-0.4237077763715898
C0130,0.5441751847145154,1,0.02505462106226122,0.039756003143722386,-0.43494239276221686,0,True,False,False,False,False,True,False,True,False,False,False,False,True,-0.2510011984380145
C0131,0.2658247065996738,1,-0.03764215632299814,0.26310433541182576,0.49125520681660817,0,False,True,False,True,False,False,False,True,False,False,False,False,True,-0.4249332616109002
C0132,-0.012525771515167854,2,0.5912760055618309,0.7098009999480325,-0.2497028728464517,0,True,False,False,False,False,True,False,False,False,True,False,True,False,-0.31405842868420136
C0133,-1.4738657816180865,1,-0.35582264621197807,0.4864526676799291,-0.8054214325937472,0,True,False,False,False,False,False,True,False,True,False,False,True,False,-0.6996439283513166
C0134,-0.012525771515167854,1,-0.3970613384036876,0.039756003143722386,0.12077616698507782,1,True,False,True,False,False,False,False,False,False,False,True,True,False,-0.5309806750325169
C0135,1.1008761409441987,3,1.906482148670561,2.049890993556653,2.1584108860584936,0,True,False,False,False,False,False,True,True,False,False,False,True,False,-0.3163604809973455
C0136,-0.708401966802272,1,-0.1863681394103853,-0.6302889936605877,0.8617342466481385,1,False,True,False,False,False,False,True,False,True,False,False,False,True,0.2642518905477215
C0137,0.40499994565709463,1,-0.07537992366785863,0.7098009999480325,-0.6201819126779821,0,True,False,False,False,True,False,False,False,False,True,False,False,True,-0.6356417178232939
C0138,-1.6826286402042177,3,1.8206289574592864,2.049890993556653,2.1584108860584936,0,True,False,False,False,True,False,False,False,False,True,False,True,False,-0.3431578362239121
C0139,-0.4996391082161407,0,-0.6658791121297186,-0.6302889936605877,-1.3611399923410419,0,False,True,False,False,False,True,False,False,True,False,False,True,False,-0.24462526759861797
C0140,-0.2212886301012991,2,0.6398006529081379,0.039756003143722386,1.973171366142728,0,False,True,False,False,False,True,False,False,False,True,False,False,True,0.15674522378329483
C0141,-0.012525771515167854,2,0.8161592489213789,0.26310433541182576,-0.2497028728464517,1,False,True,False,False,True,False,False,False,True,False,False,True,False,0.07844999693657519
C0142,-0.012525771515167854,0,-0.6525751399696856,-0.4069406613924843,-0.06446335293068653,0,False,True,False,False,False,True,False,False,False,False,True,False,True,-0.4393733646669288
C0143,-0.7779895863309824,1,-0.4418302822829387,0.039756003143722386,-0.6201819126779821,1,False,True,False,False,False,False,True,False,False,False,True,False,True,-0.5606748507534718
C0144,-0.2908762496300095,0,-1.3372026428795665,-1.5236823227330012,0.6764947267323725,1,True,False,False,False,False,False,True,False,False,False,True,True,False,1.1495202751683704
C0145,1.796752336231303,0,-0.48066989722606146,-0.4069406613924843,-0.43494239276221686,1,False,True,False,False,True,False,False,False,False,True,False,False,True,-0.2873458192878385
C0146,1.30963899953033,1,-0.17063741826229664,-0.4069406613924843,-0.8054214325937472,1,True,False,False,False,False,True,False,False,True,False,False,True,False,-0.013162926361475567
C0147,-1.6826286402042177,0,-1.3132676893406912,-0.18359232912438098,-1.1759004724252766,1,True,False,False,False,False,False,True,False,False,False,True,True,False,-1.0893887058369518
C0148,-0.9171648253884032,2,0.4332056678635956,0.7098009999480325,1.2322132864796689,1,False,True,True,False,False,False,False,False,False,False,True,False,True,-0.39030882545343437
C0149,1.1704637604729091,3,1.9841852684780956,1.8265426612885494,2.1584108860584936,0,False,True,False,False,True,False,False,False,False,True,False,False,True,-0.21763197560853556
C0150,-1.5434534011467969,2,0.5441536674716971,1.156497664484239,0.6764947267323725,0,False,True,False,False,False,False,True,True,False,False,False,False,True,-0.5132383659782317
C0151,1.30963899953033,0,-1.0059802450670465,-1.3003339904648978,-0.8054214325937472,1,True,False,True,False,False,False,False,False,True,False,False,True,False,0.7116741348975526
C0152,-0.7779895863309824,0,-0.5171150705094516,-1.3003339904648978,-0.2497028728464517,1,False,True,False,False,False,True,False,True,False,False,False,True,False,2.0086847086847457
C0153,1.5184018581164611,0,-1.1427606824564467,-0.853637325928691,-0.6201819126779821,1,True,False,False,False,True,False,False,False,True,False,False,True,False,-0.5674631128946618
C0154,-0.708401966802272,0,-1.0790929122914457,-0.4069406613924843,-1.7316190321725722,1,False,True,False,False,False,False,True,False,True,False,False,False,True,-0.8165721571629753
C0155,-0.2212886301012991,3,1.8409489385932876,1.156497664484239,0.8617342466481385,0,False,True,False,False,False,True,False,False,False,True,False,True,False,0.01607453324457374
C0156,0.6137628042432258,1,-0.13644492336689437,-0.853637325928691,0.12077616698507782,0,False,True,True,False,False,False,False,False,True,False,False,False,True,0.7674675060525717
C0157,-1.3346905425606657,0,-0.7482758873309959,-0.4069406613924843,0.12077616698507782,0,False,True,False,False,False,True,False,False,True,False,False,True,False,-0.524008070857843
C0158,0.19623708707096338,2,0.848499758018191,0.4864526676799291,1.7879318462269636,0,False,True,False,False,False,False,True,False,True,False,False,True,False,-0.06060520199944938
C0159,0.057061848013542554,0,-0.8243715319904381,-1.0769856581967945,-0.2497028728464517,0,True,False,False,False,True,False,False,False,True,False,False,True,False,0.3010982247404101
C0160,1.0312885214154883,0,-0.7500543297055516,-1.5236823227330012,-0.6201819126779821,1,True,False,True,False,False,False,False,False,False,False,True,False,True,4.26505236950164
C0161,1.796752336231303,0,-0.9413622207618955,-1.0769856581967945,-0.2497028728464517,0,True,False,False,False,False,False,True,False,True,False,False,False,True,0.09417251424699469
C0162,0.6137628042432258,1,-0.2202052748969876,-0.18359232912438098,-0.6201819126779821,0,False,True,False,False,False,True,False,False,False,True,False,False,True,-0.2608146454409559
C0163,-0.2908762496300095,2,0.643107975521401,1.156497664484239,0.49125520681660817,0,True,False,False,False,False,False,True,False,True,False,False,True,False,-0.4728481880906505
C0164,-0.2908762496300095,0,-0.8201498617834347,-1.3003339904648978,-1.3611399923410419,1,True,False,False,False,False,False,True,False,True,False,False,True,False,1.2047016291711814
C0165,-0.2908762496300095,3,1.9843553452462914,2.4965876580928597,0.49125520681660817,0,False,True,True,False,False,False,False,False,True,False,False,False,True,-0.4174911419192572
C0166,-0.012525771515167854,2,0.7574980242677031,0.4864526676799291,0.8617342466481385,0,False,True,False,False,True,False,False,True,False,False,False,True,False,-0.10889263053806969
C0167,-0.6388143472735616,2,0.6269268565142713,0.4864526676799291,0.8617342466481385,0,False,True,False,False,False,True,False,False,False,False,True,True,False,-0.17817643066197908
