고객ID,나이,성별,거주지역,가입경로,멤버십등급,월평균구매금액,구매횟수,리뷰점수,쿠폰사용여부,이탈여부
C0072,27.0,남,부산,웹,실버,81781.84054571723,7.0,4.0,Y,1
C0073,42.0,남,경기,웹,실버,43777.34021937974,6.0,3.2,Y,0
C0074,24.0,남,부산,광고,골드,117464.92632353512,13.0,3.8,N,0
C0075,43.0,남,부산,광고,브론즈,39263.00330695411,3.0,3.4,Y,0
C0076,42.0,남,경기,앱,브론즈,60698.95928255892,6.0,3.3,N,0
C0077,35.0,여,기타,웹,골드,109078.3814901535,12.0,4.3,N,0
C0078,29.0,여,대구,웹,골드,122913.81057102275,11.0,3.6,N,1
C0079,47.0,여,부산,웹,VIP,165237.0339051465,16.0,4.6,N,0
C0080,52.0,남,경기,앱,골드,116364.97784183372,11.0,4.5,N,0
C0081,66.0,남,경기,앱,골드,123842.03837104062,13.0,3.7,Y,1
C0082,40.0,여,경기,광고,브론즈,39449.33140410504,2.0,3.4,Y,1
C0083,26.0,남,서울,광고,실버,86958.65861398085,4.0,3.7,N,0
C0084,61.0,남,경기,지인추천,브론즈,33075.625474722205,5.0,3.0,N,0
C0085,50.0,남,기타,광고,실버,78535.11411070055,8.0,3.7,Y,1
C0086,54.0,여,대구,지인추천,VIP,181071.67667345423,17.0,3.7,N,0
C0087,23.0,여,서울,지인추천,브론즈,52920.44990148402,5.0,3.3,N,1
C0088,34.0,여,경기,지인추천,실버,97997.33852082492,6.0,3.3,N,1
C0089,57.0,여,서울,웹,브론즈,35838.72819227207,6.0,3.1,N,1
C0090,61.0,여,서울,웹,브론즈,28450.208983816945,4.0,3.4,N,1
C0091,40.0,여,기타,앱,브론즈,33067.97869805856,3.0,3.2,N,1
C0092,59.0,여,경기,웹,브론즈,52925.310798581246,3.0,3.5,N,0
C0093,61.0,남,경기,앱,VIP,175975.07521123256,20.0,4.7,Y,0
C0094,38.0,여,대구,앱,실버,213834.06138112355,4.0,4.1,Y,1
C0095,64.0,남,서울,웹,골드,101524.51541071443,12.0,4.7,N,0
C0096,32.0,여,서울,웹,실버,84202.40751994873,4.0,4.1,N,0
C0097,30.0,여,대구,앱,브론즈,30303.542668193517,4.0,2.9,N,1
C0098,53.0,여,대구,지인추천,브론즈,58907.3949885228,3.0,2.9,N,1
C0099,43.0,여,기타,광고,골드,149289.26107767838,7.0,4.1,Y,0
C0100,25.0,여,대구,앱,브론즈,49397.4137588586,5.0,3.1,N,1
C0101,61.0,여,경기,앱,VIP,176997.29762789293,15.0,4.0,Y,0
C0102,28.0,여,부산,앱,브론즈,39085.68277325328,1.0,3.1,N,0
C0103,59.0,여,기타,지인추천,실버,53277.44014695821,9.0,3.5,N,1
C0104,18.0,남,대구,지인추천,골드,107767.36764363734,14.0,3.8,Y,0
C0105,59.0,여,기타,앱,브론즈,31885.257106815006,7.0,3.2,Y,1
C0106,58.0,여,부산,지인추천,브론즈,27635.94508301981,5.0,3.8,N,1
C0107,58.0,남,부산,앱,VIP,190668.3193039478,16.0,3.7,Y,0
C0108,52.0,여,서울,앱,브론즈,48274.35021630928,7.0,4.3,Y,0
C0109,42.0,여,대구,광고,실버,79556.2509673678,10.0,3.8,N,0
C0110,43.0,여,경기,앱,실버,71291.73161764501,9.0,3.6,N,0
C0111,43.0,여,대구,앱,브론즈,42925.54701067876,2.0,3.7,N,0
C0112,58.0,남,대구,웹,골드,126574.608186872,11.0,4.2,Y,0
C0113,46.0,여,기타,웹,골드,114611.9545756574,12.0,4.3,N,0
C0114,41.0,남,기타,광고,브론즈,51368.32725629679,1.0,4.1,Y,0
C0115,44.0,여,서울,광고,골드,112647.9484258598,12.0,3.8,Y,0
C0116,43.0,여,대구,앱,브론즈,40894.16531121543,9.0,3.6,Y,1
C0117,19.0,남,대구,앱,브론즈,28117.030012777657,5.0,3.4,Y,1
C0118,25.0,남,경기,지인추천,실버,51267.011251594464,10.0,3.1,Y,0
C0119,30.0,남,서울,앱,VIP,166861.25718720318,16.0,4.8,Y,0
C0120,23.0,남,서울,광고,브론즈,45677.96030391879,4.0,3.8,Y,0
C0121,40.0,남,부산,웹,브론즈,29566.43955949451,5.0,3.0,N,1
C0122,52.0,남,경기,앱,실버,74586.30161958441,5.0,3.7,N,0
C0123,52.0,남,기타,지인추천,골드,115645.03075588602,9.0,3.4,Y,0
C0124,42.0,남,경기,앱,브론즈,19127.90392728745,7.0,2.8,Y,1
C0125,62.0,여,기타,웹,브론즈,34018.50408624599,7.0,3.7,N,1
C0126,47.0,남,경기,웹,골드,119887.16672482564,9.0,3.9,N,1
C0127,22.0,남,부산,웹,브론즈,49644.70475274893,6.0,2.9,N,1
C0128,57.0,남,서울,앱,브론즈,31155.901003202875,4.0,3.4,Y,0
C0129,47.0,여,대구,웹,브론즈,46901.37660599682,5.0,3.1,N,1
C0130,51.0,남,부산,광고,실버,87268.88670432566,8.0,3.5,Y,0
C0131,47.0,여,기타,광고,실버,84324.87550789077,9.0,4.0,Y,0
C0132,43.0,남,부산,웹,골드,113856.5705558328,11.0,3.6,N,0
C0133,22.0,남,서울,앱,실버,69384.28424010849,10.0,3.3,N,0
C0134,43.0,남,경기,지인추천,실버,67447.86618798594,8.0,3.8,N,1
C0135,59.0,남,서울,광고,VIP,175613.83739491587,17.0,4.9,N,0
C0136,33.0,여,서울,앱,실버,77341.24767771465,5.0,4.2,Y,1
C0137,49.0,남,대구,웹,실버,82552.8480732264,11.0,3.4,Y,0
C0138,19.0,남,대구,웹,VIP,171582.48575745383,17.0,4.9,N,0
C0139,36.0,여,부산,앱,브론즈,54825.1674041693,5.0,3.0,N,0
C0140,40.0,여,부산,웹,골드,116135.1103954924,8.0,4.8,Y,0
C0141,43.0,여,대구,앱,골드,124416.26459358024,9.0,3.6,N,1
C0142,43.0,여,부산,지인추천,브론즈,55449.87324439967,6.0,3.7,Y,0
C0143,32.0,여,서울,지인추천,실버,65345.68043730224,8.0,3.4,Y,1
C0144,39.0,남,서울,지인추천,브론즈,23302.271437551048,1.0,4.1,N,1
C0145,69.0,여,대구,웹,브론즈,63521.91427217464,6.0,3.5,Y,1
C0146,62.0,남,부산,앱,실버,78079.90476854715,6.0,3.3,N,1
C0147,19.0,남,서울,지인추천,브론즈,24426.16925404654,7.0,3.1,N,1
C0148,30.0,여,경기,지인추천,골드,106434.16603337548,11.0,4.4,Y,1
C0149,60.0,여,대구,웹,VIP,179262.49150843793,16.0,4.9,Y,0
C0150,21.0,여,서울,광고,골드,111643.87802640528,13.0,4.1,Y,0
C0151,62.0,남,경기,앱,브론즈,38855.26296817047,2.0,3.3,N,1
C0152,32.0,여,부산,광고,브론즈,61810.5823237556,2.0,3.6,N,1
C0153,65.0,남,대구,앱,브론즈,32432.55424339428,4.0,3.4,N,1
C0154,33.0,여,서울,앱,브론즈,35422.159706941995,6.0,2.8,Y,1
C0155,40.0,여,부산,웹,VIP,172536.63770057922,13.0,4.2,N,0
C0156,52.0,여,경기,앱,실버,79685.45918464659,4.0,3.8,Y,0
C0157,24.0,여,부산,앱,브론즈,50956.11641208878,6.0,3.8,N,0
C0158,46.0,여,서울,앱,골드,125934.85653482736,10.0,4.7,N,0
C0159,44.0,남,대구,앱,브론즈,47382.9434481782,3.0,3.6,N,0
C0160,58.0,남,경기,지인추천,브론즈,50872.60726726091,1.0,3.4,Y,1
C0161,69.0,남,서울,앱,브론즈,41889.488888219,3.0,3.6,Y,0
C0162,52.0,여,부산,웹,실버,75752.37963884058,7.0,3.4,Y,0
C0163,39.0,남,서울,앱,골드,116290.41016064362,13.0,4.0,N,0
C0164,39.0,남,서울,앱,브론즈,47581.17762982843,2.0,3.0,N,1
C0165,39.0,여,경기,앱,VIP,179270.47769099314,19.0,4.0,Y,0
C0166,43.0,여,대구,광고,골드,121661.74818333796,10.0,4.2,N,0
C0167,34.0,여,부산,지인추천,골드,115530.6040348022,10.0,4.2,N,0
C0168,26.0,여,기타,웹,브론즈,35290.48818070752,7.0,3.6,Y,0
C0169,35.0,여,서울,지인추천,브론즈,45812.05509675251,4.0,3.5,Y,0
C0170,43.0,남,경기,앱,골드,114663.78658125109,10.0,4.2,Y,0
C0171,23.0,여,서울,앱,브론즈,47318.178957758384,4.0,3.5,N,1
C0172,22.0,여,대구,지인추천,실버,101478.30368568483,10.0,3.7,N,0
C0173,58.0,여,기타,앱,골드,108714.72665750518,14.0,4.3,N,0
C0174,43.0,남,대구,지인추천,브론즈,50067.46822950432,2.0,3.7,N,0
C0175,54.0,여,대구,웹,골드,127821.54480693158,11.0,4.2,N,0
C0176,42.0,여,경기,지인추천,VIP,171176.0229691926,16.0,4.8,N,0
C0177,55.0,여,기타,웹,골드,143054.14143006597,9.0,3.8,N,0
C0178,26.0,남,경기,앱,실버,70463.52849922227,7.0,3.7,N,0
C0179,64.0,여,서울,앱,골드,118889.07066784055,11.0,3.9,N,0
C0180,44.0,여,경기,앱,실버,65414.33106128422,9.0,3.5,N,1
C0181,43.0,여,서울,지인추천,골드,213834.06138112355,13.0,3.7,N,0
C0182,25.0,남,서울,앱,골드,117987.2069247599,10.0,4.6,N,1
C0183,43.0,여,서울,앱,골드,125155.64874769276,11.0,4.5,N,0
C0184,54.0,여,경기,앱,브론즈,48829.13800828289,5.0,3.5,N,1
C0185,43.0,남,대구,앱,브론즈,60109.37819201683,3.0,4.1,N,0
C0186,41.0,여,경기,지인추천,브론즈,43860.41627288794,5.0,3.2,N,1
C0187,26.0,남,경기,앱,실버,71013.97764193194,7.0,4.9,N,0
C0188,37.0,여,기타,광고,실버,107447.82128735264,5.0,3.6,N,0
C0189,30.0,남,부산,앱,실버,79730.85179330438,5.0,3.8,N,1
C0190,33.0,여,경기,웹,브론즈,36366.22144825743,7.0,3.1,N,0
C0191,53.0,여,서울,웹,골드,106668.83485302316,11.0,4.2,Y,0
C0192,50.0,여,부산,앱,VIP,158687.8410256239,19.0,4.8,N,0
C0193,49.0,여,서울,광고,브론즈,56238.832270281455,3.0,3.3,N,1
C0194,36.0,여,경기,광고,골드,110627.47248528108,12.0,4.8,N,1
C0195,67.0,남,기타,광고,실버,76528.34970787783,12.0,3.8,N,0
C0196,22.0,남,경기,앱,실버,74237.89590674077,5.0,3.8,N,1
C0197,43.0,여,대구,앱,브론즈,53777.90889529121,1.0,2.9,N,0
C0198,24.0,여,대구,웹,골드,104839.07088539176,14.0,4.3,Y,0
C0199,35.0,남,대구,앱,VIP,157093.1325662838,14.0,4.4,N,0
C0200,43.0,남,서울,지인추천,골드,117691.56768617911,11.0,3.9,Y,0
C0201,37.0,여,서울,웹,VIP,177211.51141639875,15.0,4.2,N,0
C0202,65.0,여,경기,웹,VIP,173990.3877571717,17.0,5.0,N,0
C0203,43.0,남,서울,지인추천,브론즈,35286.55525083207,2.0,3.2,N,0
C0204,54.0,남,부산,지인추천,실버,83129.81810509673,7.0,3.1,Y,1
C0205,41.0,남,서울,앱,실버,213834.06138112355,8.0,3.4,Y,1
C0206,31.0,여,대구,앱,VIP,163741.5362625634,14.0,4.5,N,0
C0207,57.0,남,부산,웹,브론즈,213834.06138112355,3.0,3.5,N,1
C0208,68.0,여,부산,웹,실버,90613.90018382436,6.0,3.9,Y,1
C0209,31.0,남,경기,앱,골드,122601.0584923282,8.0,4.4,N,0
C0210,58.0,남,경기,웹,브론즈,52259.92050814648,3.0,3.0,Y,0
C0211,31.0,여,기타,지인추천,골드,129966.5370537094,11.0,3.7,N,0
C0212,55.0,여,대구,지인추천,브론즈,78751.79097886468,3.0,2.9,Y,1
C0213,59.0,여,부산,웹,VIP,149489.28675307814,15.0,4.3,Y,0
C0214,41.0,여,기타,앱,골드,106139.4810294747,11.0,3.7,Y,0
C0215,56.0,여,부산,앱,브론즈,37605.89898990571,3.0,2.8,N,1
C0216,32.0,여,서울,웹,골드,104790.16453140767,12.0,4.5,N,0
C0217,22.0,여,대구,앱,브론즈,32069.001028755447,7.0,3.6,N,0
C0218,23.0,남,서울,웹,실버,71404.16323133561,6.0,4.1,N,1
C0219,41.0,남,대구,웹,실버,60400.75541652714,8.0,3.7,Y,0
C0220,43.0,여,기타,앱,골드,119020.50841044897,11.0,3.7,Y,0
C0221,24.0,남,경기,앱,브론즈,45620.37985714337,5.0,2.6,Y,1
C0222,41.0,여,경기,앱,브론즈,50772.343977163866,7.0,3.6,N,0
C0223,54.0,여,서울,광고,골드,121092.74141965904,12.0,4.2,Y,0
C0224,28.0,남,기타,웹,실버,82236.08224112012,3.0,4.0,N,1
C0225,55.0,여,서울,앱,실버,70519.09275811342,8.0,3.9,Y,1
C0226,33.0,남,서울,광고,브론즈,70453.720831604,6.0,2.9,Y,1
C0227,60.0,여,서울,웹,브론즈,47813.173397785176,4.0,2.7,Y,0
C0228,48.0,남,서울,웹,골드,92650.18296850246,13.0,3.8,Y,0
C0229,46.0,남,경기,광고,브론즈,32971.49105080539,3.0,3.5,N,1
C0230,27.0,여,경기,앱,브론즈,24113.964131666213,1.0,3.6,N,1
C0231,42.0,여,경기,앱,VIP,170208.0155498157,16.0,4.0,Y,0
C0232,62.0,남,서울,웹,브론즈,43538.33731136,1.0,2.9,N,0
C0233,19.0,여,서울,앱,골드,109378.89162520652,11.0,3.8,N,0
C0234,57.0,여,경기,웹,브론즈,69131.11334880618,7.0,3.2,N,0
C0235,43.0,남,서울,앱,골드,121587.79448892293,7.0,3.6,N,0
C0236,55.0,여,대구,앱,골드,123713.180337356,8.0,3.5,N,1
C0237,52.0,여,서울,앱,골드,103827.11814469476,9.0,3.8,N,1
C0238,40.0,남,경기,웹,브론즈,33010.26130402785,4.0,3.3,N,1
C0239,34.0,여,경기,앱,실버,75441.66598916346,6.0,3.2,N,0
C0240,50.0,여,경기,앱,골드,117076.0856758267,14.0,4.1,N,0
C0241,43.0,여,서울,앱,브론즈,22724.26119462652,6.0,3.7,Y,0
C0242,43.0,여,서울,앱,브론즈,42836.3157258056,5.0,2.8,N,1
C0243,22.0,여,부산,앱,브론즈,45168.86499448206,4.0,3.2,N,0
C0244,51.0,남,서울,앱,VIP,167418.21001074646,17.0,4.9,Y,0
C0245,50.0,여,경기,앱,골드,105239.31505183988,9.0,3.9,N,0
C0246,22.0,남,경기,앱,실버,68525.57781694632,9.0,3.5,N,1
C0247,43.0,여,경기,웹,골드,112877.68967712644,9.0,4.6,Y,0
C0248,39.0,남,경기,앱,실버,76089.60028332057,9.0,3.6,N,1
C0249,58.0,남,부산,광고,실버,82257.49899060682,9.0,4.1,N,0
C0250,20.0,남,부산,광고,실버,87970.27445941046,7.0,3.9,N,1
C0251,27.0,여,서울,앱,실버,71467.827317673,7.0,3.6,Y,0
C0252,43.0,여,경기,앱,브론즈,39526.12564661571,5.0,3.7,Y,0
C0253,27.0,남,서울,앱,골드,120251.86808241167,5.0,4.2,N,0
C0254,35.0,여,경기,웹,골드,122330.13899693024,12.0,4.5,Y,0
C0255,52.0,여,대구,앱,브론즈,39789.59480089337,4.0,3.1,Y,1
C0256,25.0,남,서울,광고,실버,84484.72172359406,7.0,3.7,Y,0
C0257,53.0,여,경기,지인추천,브론즈,56755.02409387168,5.0,3.3,Y,0
C0258,23.0,남,기타,지인추천,VIP,185500.2375879041,16.0,4.8,N,0
C0259,27.0,남,서울,웹,VIP,191339.85088063788,14.0,4.1,N,0
C0260,48.0,여,경기,광고,VIP,159603.00633608672,16.0,4.9,N,0
C0261,59.0,남,대구,앱,브론즈,45166.77851199013,4.0,3.5,N,0
C0262,26.0,여,서울,웹,브론즈,45135.33235942392,4.0,2.8,N,1
C0263,33.0,여,서울,앱,브론즈,43823.11717760991,4.0,3.8,Y,0
C0264,66.0,여,서울,광고,브론즈,37208.84496467837,6.0,4.2,Y,0
C0265,69.0,남,기타,웹,브론즈,27173.255961227143,2.0,3.7,Y,0
C0266,48.0,여,서울,지인추천,브론즈,46112.15335234805,4.0,3.9,Y,1
C0267,41.0,여,서울,앱,VIP,160779.73208542506,19.0,4.5,Y,0
C0268,36.0,남,서울,광고,브론즈,46031.9217689715,1.0,2.6,Y,1
C0269,49.0,여,서울,웹,브론즈,35471.47749961376,4.0,3.7,Y,1
C0270,48.0,남,대구,웹,골드,101804.0998498679,10.0,4.2,N,0
C0271,33.0,여,서울,광고,실버,77811.58032452277,6.0,3.5,N,0
C0272,19.0,여,대구,앱,골드,116811.05832167796,9.0,3.7,N,1
C0273,25.0,남,대구,앱,실버,81951.3836558512,7.0,3.7,N,1
C0274,67.0,여,부산,앱,골드,141230.3651970115,15.0,4.3,N,0
C0275,39.0,여,서울,앱,실버,78327.47437453017,4.0,3.1,Y,1
C0276,43.0,여,부산,앱,실버,80820.98120476956,5.0,3.5,N,0
C0277,42.0,남,대구,앱,골드,102069.2640535921,8.0,4.7,Y,1
C0278,58.0,남,서울,앱,실버,59557.11071356351,10.0,3.3,N,0
C0279,21.0,남,부산,광고,브론즈,63993.95336128,3.0,3.6,N,0
C0280,22.0,여,부산,웹,실버,63918.24264080035,7.0,3.5,N,1
C0281,32.0,여,서울,앱,브론즈,32472.671142376297,3.0,3.5,Y,0
C0282,43.0,여,기타,웹,골드,114530.81294540135,9.0,4.5,N,1
C0283,52.0,남,경기,웹,브론즈,43917.69103947134,4.0,3.6,N,1
C0284,43.0,여,대구,웹,브론즈,34169.9219226805,9.0,3.7,N,0
C0285,40.0,남,기타,광고,브론즈,41340.3213754428,7.0,2.8,N,1
C0286,66.0,여,경기,광고,골드,129752.50861180126,9.0,4.5,N,0
C0287,26.0,남,부산,앱,브론즈,35328.076694018426,5.0,3.0,Y,1
C0288,47.0,여,경기,앱,실버,58275.93018760594,5.0,3.8,N,0
C0289,46.0,여,부산,웹,골드,126311.1234507975,7.0,4.2,N,0
C0290,42.0,남,대구,웹,브론즈,50907.56294325644,6.0,3.5,Y,1
C0291,59.0,남,서울,웹,골드,107553.77655221606,13.0,4.2,Y,0
C0292,43.0,남,경기,앱,브론즈,26013.995806476985,6.0,3.0,N,0
C0293,67.0,여,경기,웹,브론즈,36064.51972273724,3.0,2.8,N,0
C0294,35.0,여,서울,앱,실버,74343.54675780874,7.0,4.0,N,0
C0295,43.0,남,서울,앱,VIP,183988.06507860584,17.0,4.6,N,1
C0296,45.0,남,경기,앱,브론즈,32561.01630156412,5.0,3.8,N,1
C0297,62.0,여,서울,앱,실버,73985.76142186232,6.0,3.7,N,0
C0298,40.0,남,서울,앱,브론즈,53101.73591873878,1.0,2.7,Y,0
C0299,32.0,남,대구,지인추천,실버,46424.79191853696,7.0,4.1,N,0
C0300,19.0,남,대구,앱,실버,87405.4340152668,9.0,3.6,N,0
C0301,43.0,남,대구,앱,실버,60810.59313352275,5.0,3.8,Y,0
C0302,60.0,남,경기,웹,실버,78983.94592148322,8.0,3.4,N,0
C0303,18.0,여,부산,지인추천,브론즈,47960.19779532893,5.0,4.0,Y,1
C0304,64.0,여,대구,앱,실버,88015.03669756615,9.0,3.3,N,0
C0305,46.0,여,서울,지인추천,실버,81611.09257072248,9.0,3.6,N,0
C0306,25.0,여,서울,광고,실버,46472.51409924023,6.0,3.7,N,0
C0307,33.0,여,대구,웹,브론즈,35582.6490341281,1.0,2.9,N,1
C0308,46.0,남,서울,웹,실버,76658.46155223936,6.0,3.8,N,1
C0309,34.0,남,경기,앱,실버,72660.24136656255,9.0,4.3,N,1
C0310,23.0,여,기타,광고,브론즈,50731.328757081246,3.0,3.1,N,0
C0311,52.0,남,서울,앱,브론즈,54472.39866803646,3.0,3.5,N,0
C0312,52.0,여,서울,광고,실버,82301.42083715615,3.0,2.6,Y,0
C0313,24.0,여,기타,웹,골드,112428.7006893464,15.0,4.1,Y,1
C0314,32.0,남,대구,앱,브론즈,22843.955866554235,6.0,3.2,N,1
C0315,30.0,여,서울,앱,골드,109534.2250137422,13.0,3.8,Y,0
C0316,52.0,여,부산,웹,실버,79996.41777766746,9.0,4.1,N,1
C0317,55.0,남,부산,웹,골드,101914.63296939428,12.0,4.0,N,0
C0318,55.0,남,경기,앱,실버,82575.29676145891,7.0,3.6,N,1
C0319,66.0,여,대구,지인추천,실버,85900.71956720765,7.0,3.5,Y,1
C0320,57.0,여,서울,광고,실버,76522.40371555011,6.0,2.9,N,1
C0321,34.0,남,서울,웹,VIP,133234.64160425126,21.0,4.0,N,0
C0322,23.0,여,대구,웹,실버,59662.93964745836,8.0,4.1,N,0
C0323,49.0,남,서울,앱,실버,97634.26990267298,6.0,2.9,Y,1
C0324,65.0,여,대구,지인추천,실버,68441.54648365946,8.0,3.4,N,0
C0325,68.0,여,부산,앱,골드,91190.28132245204,9.0,3.7,Y,0
C0326,29.0,남,서울,광고,브론즈,59822.96865972327,7.0,4.0,N,1
C0327,30.0,여,대구,앱,실버,75160.26709852407,6.0,4.0,Y,1
C0328,19.0,여,서울,웹,실버,88259.2858674927,8.0,3.5,N,1
C0329,25.0,여,부산,앱,VIP,173323.50410263237,18.0,5.0,Y,0
C0330,46.0,남,서울,앱,실버,80502.70963454603,8.0,3.4,N,0
C0331,46.0,남,대구,지인추천,실버,79356.1109725742,7.0,4.1,Y,0
C0332,37.0,남,대구,웹,VIP,178369.859743052,16.0,4.0,N,0
C0333,34.0,남,경기,웹,실버,102329.16538267318,7.0,4.1,N,0
C0334,61.0,남,대구,광고,브론즈,56652.07603151025,3.0,3.1,N,1
C0335,43.0,여,대구,광고,브론즈,26035.92818585358,3.0,2.9,Y,1
C0336,60.0,여,대구,광고,브론즈,50359.93818334684,7.0,3.2,Y,1
C0337,68.0,여,부산,앱,브론즈,58697.769217238616,4.0,3.4,Y,1
C0338,34.0,남,기타,웹,실버,89432.40967843376,5.0,3.5,N,0
C0339,28.0,남,경기,광고,골드,109880.7402032908,10.0,4.3,N,0
C0340,67.0,여,경기,앱,골드,128979.33334225754,13.0,3.7,Y,0
C0341,51.0,남,서울,앱,브론즈,56132.90879461447,5.0,3.5,N,1
C0342,33.0,여,부산,지인추천,실버,105870.20924363675,8.0,3.9,Y,1
