희망구매유형,수요기술명,수요기술번호,진행상태,구매희망시기,희망기술개요,키워드,기술도입지원기관,기술지표상세,기술구매조건,기술이전계약설명,기술이전계약유형,정액기술료,기타계약조건,경상기술료,기술센터지역,수집일시,정보충실도
"기술매매,라이센스,기술협력,기술지도",음파를 이용한 근피로 완화 시스템,00000000011,기술이전계약,12개월이내,"□ 기술개발 배경
1)기존 기술 : 기존 차량 내 안마 시스템
· 주파수 및 진폭에 대한 정밀 제어 불가
· 모터와 진동판의 직접적인 접촉에 의해 마모 발생
· 마찰에 의한 소음 발생

2)개발 기술 : 음파를 이용한 안마 시스템
· 정밀한 주파수 및 진폭 제어 가능
· 마모없고 소음 발생 적음
· 마시지부와 시트 간 간접 접촉으로 에너지 전달 가능
· 세포 활성화 및 림프관과 혈관의 생체 자극 효과

□ 음파 적용 효과
- 음파 진동 발생
- 체내 림프관 및 혈관에서 근육 수축/이완 유도
- 체내 혈류량 증가로 인한 혈액과 림프액의 활발한 순환
▶ 근피로의 원이이 되는 노폐물이 쌓이는 것을 풀고 혈액순환의 개선으로 인해 근육 내 세포 활성화
▶ 근피로 감소","음파,근피로 완화,액츄에이터,제네레이터,",협의후 결정,신제품 개발,전용실시권,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,경북,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도","태양전지,반사방지 기판",00000000012,컨설팅매칭,12개월이내,"- 습식공정용 알루미늄 코팅 박막, 양산성 기술 
- 자동차 내장재 도금대체 기술, 핸드폰 부품 증착대체 기술(은을 사용할시 비용적인 조달문제가 있어 신기술 대체 희망)","습식공정,알루미늄 코팅,박막,,",협의후 결정,신제품 개발,"전용실시, 현재 진행 중인 사업의 단가 문제로 인해 신소재 발굴",협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,대구,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도","전자파기술,방열기술",00000000013,컨설팅매칭,12개월이내,"- 내부 연구개발전담부서를 설립하여 연구를 진행하고 있지만, 실제 연구인력의 부족으로 기술도입의사 표현
- 전자파기술(해충퇴치기,LED적용제품), 방열기술","해충퇴치기,방열기술,전자파,,",협의후 결정,신사업진출,"- 기술도입으로 신사업 진출 희망, 전용실시권",협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,대구,2026-07-10,3
"기술협력,기술지도",콘크리이트급결제,00000000014,컨설팅매칭,3개월이내,현재 당사에서는 콘크리이트 급결제의 주원료인 황산알루미늄과 알루민산나트륨을 생산하고 무기응집제로 판매하고 있으나 콘크리이트 급결제로 생산판매하기 위한 생산기술 도입에 어려움을 겪고 있습니다. 이에 당사에서는 콘크리이트 급결제의 생산기술 도입을 희망합니다.,"급결제,액상급결제,콘크리이트 경화제,,",협의후 결정,신제품 개발,콘크리이트 급결제 생산을 위한 기술협력 및 기술지도를 희망함.,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,경북,2026-07-10,3
기술매매,"데이터 정보 제공 기술, NFC 또는 블루투스 관련 기술",00000000015,사업화모니터링,3개월이내,"데이터 정보 제공방식에 대한 차별성을 가진 기술
NFC 관련 데이터 제공방식
블루투스를 이용하여 음성을 텍스트 매칭시키는 기술
적용: NFC태그 모바일 동영상콘텐츠 제공 플랫폼, 음성인식 텍스트 매칭 제공 서비스 플랫폼","콘텐츠,음성인식,블루투스,NFC,플랫폼",협의후 결정,신제품개발,천만원 이하,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,서울,2026-07-10,3
"기술매매,라이센스",배터리 수명 연장을 위한 전원공급 시스템,00000000016,사업화모니터링,3개월이내,배터리 수명 연장을 위한 전원공급방법으로 전력 변환장치를 포함한 회로구성 방법,"배터리 수명,전원공급방법,전력변환장치,,",공주대학교 산학협력단,사업 확장,장치 기술 및 전원공급 시스템 기술 및 노하우,협의후 결정,통상실시권,5500000,협의후 결정,0,충남,2026-07-10,4
"기술협력,기술지도",에너지 저감 장치,00000000017,컨설팅매칭,6개월이내,협의후 결정,"에너지,전기,저감,장치,",협의후 결정,전기 에너지 사용 비용 절감,전기 에너지 사용으로 인한 비용 부담이 크므로 에너지저감 장치 기술 개발/도입으로 에너지 사용 비용 절감,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,경북,2026-07-10,2
기술협력,래이들 슬라이딩게이트노즐 충진재,00000000018,컨설팅매칭,즉시,협의후 결정,"세라믹,제강공정,래이들 충진재,,",협의후 결정,신제품개발,공동 기술개발을 통한 사업화,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,경북,2026-07-10,2
"기술매매,라이센스",해조류의 가공 및 활용 기술,00000000019,기술이전계약,즉시,각 종 해조류를 가공하여 활용할 수 있는 기술,"해조류,가공,,,",협의후 결정,신제품 개발,현재의 사업에 적용 가능한 기술,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,충남,2026-07-10,3
협의후 결정,GAN 설계관련 기술,00000000020,기술이전계약,3개월이내,GAN POWER SYSTEM 설계기술,"GAN,회로설계,,,",협의후 결정,제품 고도화,노하우 이전,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,경기대진,2026-07-10,3
"기술매매,기술협력",플렉시블 디스플레이에 활용 가능한 ITO 필름 대체 기술,00000000021,신청,즉시,"● 신사업을 위한 유연소자 관련 연구 최근 검토 시작
● 플렉시블 디스플레이 활용 전제하에 기존에 사용되고 있는 ITO 필름을 대체할 만한 재료 및 제품 양산 기술 개발 필요
● 롤투롤 공정으로 양산 가능 기술
● 신뢰성, 재현성 구현 검증 필요","플렉시블,디스플레이,전도성필름,은나노와이어,",협의후 결정,신제품개발,플렉시블 디스플레이에 활용 가능한 ITO 필름 대체 기술 및 노하우 필요,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,부산,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도,M&A",선박용 조립식 배전반 기술,00000000022,컨설팅매칭,즉시,선박용 전원공급을 위한 조립식 배전반 패널 기술,"전원공급,조립식,배전반,패널,",협의후 결정,R&D 개발,현재 사업에 적용 가능한 기술 및 노하우,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,부산,2026-07-10,3
기술매매,스마트그리드태양광 간판의 전원공급시스템 관련 기술,00000000023,사업화모니터링,즉시,태양광과 스마트그리드 기술을 접목한 전력변환 및 전원공급시스템,"스마트그리드,태양광,전원공급,,",협의후 결정,신제품개발,기술보유자와의 협의를 통한 가격 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,광주,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도,M&A",플렉시블 리튬이차전지 적용가능한 전해질 기술,00000000024,컨설팅매칭,즉시,플렉시블 리튬이차전지에 활용 가능한 전해질 기술 및 노하우,"플렉시블,배터리,리튬이차전지,전해질,",협의후 결정,플렉시블 배터리의 R&D 개발,플렉시블 리튬이차전지에 활용 가능한 전해질 기술 및 노하우,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,부산,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도,M&A",선박평형수 처리기술,00000000025,컨설팅매칭,즉시,선박평형수 관련 전극/코팅부분에 관한 기술,"선박평형수,밸러스트,수처리,전극 코팅,BWTS",협의후 결정,선박평형수 관련 전극/코팅부분 R&D 개발,적용가능한 기술 및 노하우,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,부산,2026-07-10,3
"기술매매,라이센스",항염증 또는 항당뇨 효능 관련 기술,00000000026,사업화모니터링,3개월이내,"경제성장과 소득이 늘면서 식습관의 서구화, 운동부족, 비만 등 복합적 요인으로 성인병인 당뇨병환자가 급증하고 있다.
이에따라 당뇨병 치료제 시장 규모가 증가하고, 제2형 당뇨병에서 염증반응이 중요한 요인으로 알려지고 있다.
부작용 없는 당뇨 개선치료제 및 기능성 식품 개발 필요함.","항염증,항당뇨,효능,당뇨병,염증반응",협의후 결정,신제품개발,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,충북,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도,M&A",집진환기 패널 관련 기술,00000000027,컨설팅매칭,즉시,특정 영역의 공기를 순환시켜 환기가 이루어질 수 있도록 하는 집진환기 패널에 관한 기술,"공기순환,집진,필터,,",협의후 결정,집진환기패널에 관한 신제품 개발,활용가능한 기술 및 노하우,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,부산,2026-07-10,3
"기술매매,라이센스,M&A",탄닌을 이용한 블록 관련 기술,00000000028,기술이전계약,3개월이내,협의후 결정,"탄닌,저알칼리,비시멘트,콘크리트,블록",동서콘크리트,신제품개발,협의후 결정,협의후 결정,통상실시권,0,기업측에서 기술료금액 공개를 원치않음,0,충북,2026-07-10,3
"기술매매,라이센스",안구전위 기반 안대장치 관련 기술,00000000029,기술이전계약,3개월이내,협의후 결정,"무선,안구전위,안구운동,수면학습,안대장치",㈜제이유에이치,신제품개발,협의후 결정,협의후 결정,기술양도(매매),0,기업측에서 사이트에 기술료금액 공개를 원치않음,0,충북,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도,M&A",천연물 유래 항노화 화장품 기술,00000000030,기술이전계약,즉시,한방약재 및 천연물 등으로부터 효능물질을 추출한 신물질의 효능을 이용한 피부탄력 및 주름개선 기술,"항노화,안티에이징,화장품,스킨케어,천연물질",협의후 결정,신재품개발,적용가능한 기술 및 노하우,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,부산,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도,M&A",독립 제어형 수전밸브(수도꼭지) 기술,00000000031,컨설팅매칭,즉시,토출정량 유지 및 온도안정화를 위한 독립제어형 수전밸브(수도꼭지) 기술,"토충정량,온도안정화,독립제어,수전밸브,수도꼭지",협의후 결정,신제품개발,적용가능한 기술 및 노하우,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,부산,2026-07-10,3
"기술매매,라이센스,기술협력","친환경 도로안전시설물, 소음저감기술 및 제품",00000000032,기술이전계약,3개월이내,"? 소음저감기술 및 제품
 ? 친환경 도로안전시설물
 ? 친경관, 친안전 시설물
 ? 오염물질 비저감기술 外 융복합 기술 포함

_ 국토개발사업, 항만공사, 철도, 도로 및 교량공사, 물환경/수처리시설 등의 인프라 건설을 
  망라한 광범위한 토목환경사업에 적합한 시설물 

_ 도로안전 시설물: 가드레일, 차량방호울타리, 교량난간, 충격흡수시설, 중앙분리대 
                    교량점검통로, 도로 표지판, 낙석방지책,망
 _ 친경관 시설물: 외장재(교량, 육교, 터널), 캐노피, 조형물, 태양광
                 조명시설(가로등, 공원등, 이미지폴)
 _ 친환경 시설물: 난간, FENCE, 방음벽, 방음터널","도로,안전,융복합,환경,시설물",협의후 결정,신제품개발,"사업화 즉시 가능 원함
TRL 7단계 이상",협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,서울,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도,M&A",차량용 튜브 및 호스 연결 구조 기술,00000000033,컨설팅매칭,즉시,고압 호스 접속용 파이프 어셈블리(조립장치) 기술,"튜브,고압 호스,파이프,조립장치,어셈블리",협의후 결정,신제품 개발,적용가능한 기술 및 노하우,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,부산,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도,M&A",지반 천공을 위한 공압식 해머와 비트 기술,00000000034,컨설팅매칭,즉시,지반 천공을 위한 공압식 해머와 비트 기술,"지반 천공,해머,비트,공압,",협의후 결정,해머 및 비트 R&D 개발,적용가능한 기술 및 노하우,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,부산,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도,M&A",스마트 용접 토치 기술,00000000035,컨설팅매칭,즉시,센서를 부착하여 용접 위치를 결정하는 기술,"용접,토치,센서,용접 위치,",협의후 결정,용접 토치 R&D 개발,적용가능한 기술 및 노하우,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,부산,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도,M&A",분말첨가 방식 EDM WIRE 가공 기술,00000000036,컨설팅매칭,즉시,"분말첨가 방식 EDM WIRE 가공 기술  
 - 표면품질 향상시키고 재로 제거율을 높여 공구마모를 최소화 할 수 있는 기술","분말첨가,EDM WIRE ,공구마모,표면품질,",협의후 결정,제품 R&D개발,적용가능한 기술,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,부산,2026-07-10,3
"라이센스,기술지도",감귤껍질을 활용한 세정제,00000000037,컨설팅완료,3개월이내,"비상품 감귤 껍질을 활용하여 세정제 제조 방법으로, 감귤향이 보조된 기술이여야 함","감귤,껍질,세정,,",협의후 결정,신제품 개발을 통한 시장진출,기술지도 및 생산공정 등 컨설팅,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,제주,2026-07-10,3
라이센스,모래펌프 관련 제조 기술,00000000038,기술이전계약,3개월이내,"당사와 파트너쉽을 맺고 있는 협력사로부터 제품 개발 제의를 받고 2014년도에
준설용 모래펌프에 대한 사업성을 자체 조사한 결과
사업성이 우수한 것으로 판단하였습니다.

하여 모래 펌프 제조 관련하여 메칭이 가능한 기술에 대한 조사를 요청드립니다.","모래펌프,고크롬,준설,임펠러,케이싱",협의후 결정,모래 펌프 제조 관련하여 메칭이 가능한 기술에 대한 조사,협의 후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,대구,2026-07-10,3
라이센스,모래 펌프 관련 제조 기술,00000000039,수요기업만족도체크,3개월이내,"당사와 파트너쉽을 맺고 있는 협력사로부터 제품 개발 제의를 받고 2014년도에
준설용 모래펌프에 대한 사업성을 자체 조사한 결과
사업성이 우수한 것으로 판단하였습니다.","모래펌프,고크롬,준설,임펠러,케이싱",협의후 결정,하여 모래 펌프 제조 관련하여 매칭이 가능한 기술에 대한 조사,협의 후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,대구,2026-07-10,3
기술매매,"염생식물, 함초, 나문재, 칠면초, 해홍나물, 장류, 식초",00000000040,컨설팅매칭,즉시,협의후 결정,"염생식물,함초,장류,식초,건강식물",협의후 결정,융복합사업을 위한 새로운 기술개발,"무료로 주실분이나 또는 로얄티를 희망하시는 분, 저렴한 가격으로 양도하실 분",협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전남,2026-07-10,2
"기술매매,라이센스,기술협력,기술지도",반도체 제조공정 과정에서 배기라인에 발생하는 파우더 유착 지연 및 감소 기술,00000000041,컨설팅매칭,즉시,반도체 제조공정 과정에서 파우더 적체가 주로 일어나는 구간(주로 엘보)에 스크류 혹은 와류를 등의 기술적 조치를 통해 파우더 유착을 지역하거나 감소시킬 수 있는 기술,"파우더 유착,파우더 지연,반도체 챔버 배기라인,,",협의후 결정,제품 공정(신제품 개발),기술 구매 조건 방식에 따라 향후 협상,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,충북,2026-07-10,3
"기술매매,라이센스,기술협력","민감하고, 정확한 신규 암 진단 바이오마커",00000000042,기술이전계약,6개월이내,여러 암을 조기에 스크리닝하는 기술,"암,진단,POC,multiplex,소량 체액",협의후 결정,제품라인 확장,"기술 실시권, 판매권 이전
제품판매량에 따른 로얄티 지급",협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,서울,2026-07-10,3
기술매매,세계최초 디자인분재,00000000043,접수및승인,6개월이내,"이  세상에는  절대  존재치않는   정말 세계최초 찬란한  세계최초 디자인분재  하우스입니다 !!        {발명특허 }

   blog.naver.com/bkh2400          www.cyworld.com/bkh2400","세계최초  찬란해,,,,",협의후 결정,국가 발전에 기여,"세계최고는  항시  변할수있으나,    세계최초는  영원한것이며,
나날이  굵어지고  무성해져만가는  그 때를  상상하여   약  8억은  받아도  되겠습니다.",협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,서울,2026-07-10,3
"기술매매,기술협력,기술지도",옥외 함체내부의 열을 냉각시키는 방법,00000000044,컨설팅매칭,즉시,하절기에는 이동통신 옥외함체의 내부 온도가 너무 높아 장비의 다운되는 현상을 최소화하고자 함,"함체,옥외,이동통신,중계기함체,옥외 랙",협의후 결정,신제품 개발,상담후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,부산,2026-07-10,3
라이센스,조이스틱 관련 기술,00000000045,사업화모니터링,6개월이내,"- 충격, 기계적 마모, 변형, 온도, 습도에 영향을 받지 않는 내구성이 있는 기술
- 노이즈가 발생되지 않으며, 신호 전달이 정확하고, 응답속도가 빠른 기술
- 구조가 간단하고, 생산 수율을 향상시킬 수 있는 기술","조이스틱,조그셔틀,,,",디자인월드,신규사업진출,협의,협의후 결정,전용실시권,0,협의후 결정,0,경북,2026-07-10,4
라이센스,유동층 보일러 관련 기술,00000000046,사업화모니터링,6개월이내,"- 유동층 보일러 관련 기술
- 유동층 보일러 연료 기술
- 보일러 기술","유동층보일러,보일러,보일러 연료기술,,",인하대학교 산학협력단,기존사업영역확대,협의,협의후 결정,기술양도(매매),15000000,협의후 결정,0,경북,2026-07-10,4
라이센스,나노 복합체를 이용한 기술,00000000047,사업화모니터링,6개월이내,"- 나노 복합채를 이용하여 건강기능성제품인 돌침대, 옥침대, 황토침대, 숯침대 등을 개발
- 휴대폰 케이스 개발
- 의료용재료(인공뼈 등) 을 개발","나노,돌침대,휴대폰케이스,인공뼈,",한양대학교 에리카산학협력단,신규사업진출,협의,협의후 결정,통상실시권,15000000,협의후 결정,0,경북,2026-07-10,4
라이센스,데이터 연계 기술,00000000048,사업화모니터링,6개월이내,"- Hadoop 기반의 NoSQL 데이터 스토어(Hive, HBase) 연계를 위한 표준 기술
- 데이터 전송 성능향상을 위한 구성 요소의 통제 기술
- 데이터 시각화 구현을 위한 파일시스템 접근 기술
- 데이터 연계 / 수집을 위한 SDN(Software Defined Network) 기술","데이터전송,데이터수집,SDN,데이터연계,",가톨릭대학교 산학협력단,기존사업영역확대,협의,협의후 결정,노하우이전,15000000,협의후 결정,0,경북,2026-07-10,4
라이센스,누룽지 관련 기술,00000000049,기술이전계약,6개월이내,"(1) 특허 기술로 전통식품 누룽지를 기호성 식품이 되도록 제조 기술을 이전을 받고 싶습니다.
(예: 1회용 커피처럼, 누룽지 가루를 넣고 물을 넣고 숭늉 차로 이용)
(예: 컵라면처럼, 컵 누룽지에 물을 넣고 간편식으로 이용)
(2) 특허 기술로 전통식품 누룽지를 건강 기능성 식품이 되도록 제조 기술을 이전 받고 싶습니다.
(또는 건강 기능성 쌀을 구입할 수 있는 방법은 없을까요?)
(3) 특허 기술로 전통식품 누룽지를 간편하고 편리하게 이용할 수 있도록 포장 기술을 이전 받고 싶습니다.","누룽지,쌀,,,",협의후 결정,신규사업진출,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,경북,2026-07-10,3
"기술매매,라이센스",터빈 로터 블레이드 관련 기술,00000000050,사업화모니터링,6개월이내,"- 터빈 로터 블레이드가 설치되어 있는 장소로 이동하여 블라스팅 작업을 할 수 있는 기술
- 주변에 위치한 설비로 분진이 들어감으로써 주변 설비가 고장나거나 오동작하는 것을 방지할 수 있는 기술
- 환경오염을 방지할 수 있는 기술","터빈 로터 블레이드,,,,",(주)티엠디,기존사업영역확대,협의,협의후 결정,기술양도(매매),0,0,0,경북,2026-07-10,4
"기술매매,라이센스,기술협력,기술지도",가변자속전동기,00000000051,컨설팅완료,즉시,"중국시장을 비롯한 세계시장 확보를 위한 고효율 허브모터 설계기술, 안전성 및 강인한 기구설계 기술 및 양산 시스템 자동화 기술 등을 확보함으로써 허브모터의 고효율/고밀도 및 저가격화를 동시에 만족할 기술개발이 절실히 필요하다.
상기에서 제시한 허브모터의 고효율/고밀도 및 저가격화 실현을 통한 사업화 성공을 위하여 기술이전이 절실히 필요한 실정이다.","모터,고정식,분할코어식,,",협의후 결정,"사업영역확대,기술력보완",사업연계등,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,대구,2026-07-10,3
기술매매,"형상기억 기술, mesh섬유 제조",00000000052,컨설팅매칭,9개월이내,"폐사에서 개발을 목적으로하는 내시경용 시술기구중 nitinol와이어를 spiral 형태로 가공 후 열처리하여 형상 기억시키는 기술을 필요로 하며, 두 번째로 조직회수를 목적으로 하는 탄성이 좋은 mesh섬유의 제조정보를 필요로 함.","내시경용 시술기구,형상기억기술,mesh 섬유제조,,",협의후 결정,"내시경용 시술기구중 nitinol와이어를 spiral 형태로 가공 후 열처리하여 형상 기억시키는 기술, 탄성이 좋은 mesh섬유의 제조정보",협상 후 구매,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,대구,2026-07-10,3
기술협력,보유기술 평가 및 사업방향 모색,00000000053,수요기업만족도체크,9개월이내,식품 농산물의 제조 가공 관련 기술수집 및 방향모색,"기능성 식품,액비,식물공장 재배,,",협의후 결정,"기능성 식품, 액비, 식물공장등 사업화 추진 방향 모색",협상,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,대구,2026-07-10,3
